row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Công ty VinFast Sing,Công ty VinFast Sing,Công ty VinFast Sing,Công ty con,Góp vốn bằng tiềnNhận thanh toán theo tiến độ hợp đồng chuyển nhượng khoản đầu tư,263.196235.000,-,,,263196235000.0,
Công ty VinAl,Công ty VinAl,Công ty VinAl,Công ty con,Góp vốn bằng tiềnĐi vay,633.953331.800,-,,,633953331800.0,
Công ty VinES,Công ty VinES,Công ty VinES,Công ty con,Góp vốn bằng tiềnĐi vay,1.377.000500.000,-,,,1377000500000.0,
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty con,Đi vay,1.800.000,-,,,1800000.0,
Công ty VinBigData,Công ty VinBigData,Công ty VinBigData,Công ty con,Góp vốn bằng tiềnĐi vay,466.121460.000,-,,,466121460000.0,
Công ty NewCo,Công ty NewCo,Công ty NewCo,Công ty con,Đi vay,5.400.000,-,,,5400000.0,
Công ty TNHH MTVThương mai Đầu tư vàPhát triển Thời Đại,Công ty TNHH MTVThương mai Đầu tư vàPhát triển Thời Đại,Công ty TNHH MTVThương mai Đầu tư vàPhát triển Thời Đại,Công ty con đếnngày 23 tháng 11năm 2021,Cho vay,318.000,8.400,,,318000.0,8400.0
Công ty Tây Tăng Long,Công ty Tây Tăng Long,Công ty Tây Tăng Long,Công ty con,Đi vay,230.000,,,,230000.0,
Công ty Cổ phần Nghiềncứu và Sản xuấtVinBiotech,Công ty Cổ phần Nghiềncứu và Sản xuấtVinBiotech,Công ty Cổ phần Nghiềncứu và Sản xuấtVinBiotech,Công ty con đếnngày 15 tháng 10năm 2021,Cho vayGóp vốn bằng tiền,781.600138.000,-,,,781600138000.0,
Công ty Vinbiocare,Công ty Vinbiocare,Công ty Vinbiocare,Công ty con,Góp vốn bằng tiềnĐi vayCấn trừ các khoản đi vay với phải thuChi hộ,404.040289.918280.918229.552,-,,,4.040402899182809e+23,
Công ty VIN3S,Công ty VIN3S,Công ty VIN3S,Công ty con,Cho vay,141.000,-,,,141000.0,
Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty con,Nhận đặt cọc cho mục đích hợp tác đầu tưNhận đặt cọc cho mục đích chuyển nhượng khoản đầu tưĐi vay,4.420.0002.863.1251.189.800,-,,,4.420000286312512e+20,
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,Cho vay,-,1.740.000,,,,1740000.0
