row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Đơn vị tính: triệu VND > Số đã thu/cấn trừ trong năm,Đơn vị tính: triệu VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Đơn vị tính: triệu VND > Số đã thu/cấn trừ trong năm,numeric__Đơn vị tính: triệu VND > Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập cá nhân nộp thừa,Phải thu > Thuế thu nhập cá nhân nộp thừa,Thuế thu nhập cá nhân nộp thừa,4.956,-,(4.956),-,4956.0,,-4956.0,
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,783.980,-,(304.960),479.020,783980.0,,-304960.0,479020.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,788.936,-,(309.916),479.020,788936.0,,-309916.0,479020.0
,,,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cấn trừ trong năm,Số cuối năm,,,,
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
"Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Phải nộp > Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao",1.091.957,13.617,(892.566),213.008,1091957.0,13617.0,-892566.0,213008.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,63.703,747.982,(811.685),-,63703.0,747982.0,-811685.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.690,370.630,(349.869),24.451,3690.0,370630.0,-349869.0,24451.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,273,123.814,(112.572),11.515,273.0,123814.0,-112572.0,11515.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,3.370,94.501,(65.652),32.219,3370.0,94501.0,-65652.0,32219.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,1.162.993,1.350.544,(2.232.344),281.193,1162993.0,1350544.0,-2232344.0,281193.0
