row_label_raw,row_label_full,Đơn vị lưu ký/bảo lãnh phát hành > Công ty Cổ phần Chứng khoán Kỹ thương (i) > Công ty Cổ phần Chứng khoán KB Việt Nam (i)Trong đó:,Số cuối năm(triệu VND) > 7.932.607 > 996.625,Ngày đảo hạn > Từ tháng 2 năm2024 đến tháng2 năm 2026 > Tháng 12 năm2022,"Lãi suất năm > Lãi suất thả nổi, lãi suất trong nămtừ 8,1%/năm đến 9,7%/năm. Lãi suất cố định 8,5%/năm > Lãi suất thả nổi, lãi suất trong năm10,65%/năm",numeric__Số cuối năm(triệu VND) > 7.932.607 > 996.625,numeric__Ngày đảo hạn > Từ tháng 2 năm2024 đến tháng2 năm 2026 > Tháng 12 năm2022,"numeric__Lãi suất năm > Lãi suất thả nổi, lãi suất trong nămtừ 8,1%/năm đến 9,7%/năm. Lãi suất cố định 8,5%/năm > Lãi suất thả nổi, lãi suất trong năm10,65%/năm"
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,996.625,,,996625.0,,
"Credit Suisse Singapore Limited, The HongKong and Shanghai Banking Corporation Limited(Singapore) và Morgan Stanley Asia (Singapore)PTE. (ii)","Credit Suisse Singapore Limited, The HongKong and Shanghai Banking Corporation Limited(Singapore) và Morgan Stanley Asia (Singapore)PTE. (ii)","Credit Suisse Singapore Limited, The HongKong and Shanghai Banking Corporation Limited(Singapore) và Morgan Stanley Asia (Singapore)PTE. (ii)",10.866.788,Tháng 4 năm2026,Lãi suất cố định 3%/năm,10866788.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,19.796.020,,,19796020.0,,
Trong đó:,Trong đó:,Trong đó:,,,,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,18.799.395,,,18799395.0,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,996.625,,,996625.0,,
