row_label_raw,row_label_full,Ông Phạm Nhật Vượng,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Bà Phạm Thúy Hằng,Bà Phạm Thúy Hằng,Bà Phạm Thúy Hằng,Phó chủ tịch,,,
Bà Phạm Thu Hương,Bà Phạm Thu Hương,Bà Phạm Thu Hương,Phó chủ tịch,,,
Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Phó chủ tịch,,,
Ông Nguyễn Việt Quang,Ông Nguyễn Việt Quang,Ông Nguyễn Việt Quang,Phó chủ tịch,,,
Ông Adil Ahmad,Ông Adil Ahmad,Ông Adil Ahmad,Thành viên độc lập,bổ nhiệm ngày 24 tháng 6 năm 2021,,
Ông Chin Michael Jaewuk,Ông Chin Michael Jaewuk,Ông Chin Michael Jaewuk,Thành viên độc lập,bổ nhiệm ngày 24 tháng 6 năm 2021,,
Ông Ronaldo Dy-Liacco Ibasco,Ông Ronaldo Dy-Liacco Ibasco,Ông Ronaldo Dy-Liacco Ibasco,Thành viên độc lập,bổ nhiệm ngày 24 tháng 6 năm 2021,,
Ông Park Woncheol,Ông Park Woncheol,Ông Park Woncheol,Thành viên,,,
Ông Lê Khắc Hiệp,Ông Lê Khắc Hiệp,Ông Lê Khắc Hiệp,Phó chủ tịch kiểm thành viên độc lập,miễn nhiệm ngày 24 tháng 6 năm 2021,,
Ông Marc Villiers Townsend,Ông Marc Villiers Townsend,Ông Marc Villiers Townsend,Thành viên độc lập,miễn nhiệm ngày 24 tháng 6 năm 2021,,
Ông Ling Chung Yee Roy,Ông Ling Chung Yee Roy,Ông Ling Chung Yee Roy,Thành viên độc lập,miễn nhiệm ngày 24 tháng 6 năm 2021,,
