row_label_raw,row_label_full,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 1,Số cuối năm > Nguyên tệ > USD,Số cuối năm > Triệu VND > 5.688.245,Ngày đáo hạn > Từ tháng 5 năm 2022đến tháng 11 năm 2024,Tài sảnđảm bảo > (i),numeric__Số cuối năm > Nguyên tệ > USD,numeric__Số cuối năm > Triệu VND > 5.688.245,numeric__Ngày đáo hạn > Từ tháng 5 năm 2022đến tháng 11 năm 2024,numeric__Tài sảnđảm bảo > (i)
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,935.676,,,,935676.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,USD,8.112.730,Từ tháng 2 năm 2023đến tháng 2 năm 2026,(i),,8112730.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 3,Các bên thu xếp tín dụng của khoản vay hợp vốn 3,Các bên thu xếp tín dụng của khoản vay hợp vốn 3,USD,6.582.702,Từ tháng 12 năm 2023đến tháng 12 năm 2026,(i),,6582702.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,20.383.677,,,,20383677.0,,
Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,,19.448.001,,,,19448001.0,,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,935.676,,,,935676.0,,
