row_label_raw,row_label_full,STT,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý,Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp (*** ),Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý,Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp (*** ),numeric__Tên đơn vị,numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp (*** ),numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp (*** )
1,1,1,Công ty Vinpearl,"(1),(2),(3)",2.641.746.753,37.851.428,(**),"99,59%",913.271.334,16.991.680,(**),"68,21%",,,2641746753.0,37851428.0,,0.9959,913271334.0,16991680.0,,0.6820999999999999
2,2,2,Công ty VinFast,"(1),(2),(4)",2.601.716.022,26.128.400,(**),"51,52%",(*),20.057.336,(**),"51,52%",,,2601716022.0,26128400.0,,0.5152,,20057336.0,,0.5152
3,3,3,Công ty Vinhomes,(5),2.902.482.480,21.991.675,238.003.563,"66,66%",2.333.164.250,22.981.447,208.818.200,"70,93%",,-5.0,2902482480.0,21991675.0,238003563.0,0.6666,2333164250.0,22981447.0,208818200.0,0.7093
4,4,4,Công ty Vinsmart,"(1),(2)",619.526.500,6.195.265,(**),"67,34%",310.170.500,3.101.705,(**),"62,03%",,,619526500.0,6195265.0,,0.6734,310170500.0,3101705.0,,0.6203
5,5,5,Công ty VMC Holding,,592.811.488,5.928.115,(**),"74,52%",592.811.488,5.928.115,(**),"74,52%",,,592811488.0,5928115.0,,0.7452,592811488.0,5928115.0,,0.7452
6,6,6,Công ty Grand Prix,(1),(*),3.699.424,(**),"100,00%",(*),1.000.000,(**),"100,00%",,-1.0,,3699424.0,,1.0,,1000000.0,,1.0
7,7,7,Công ty Vincom Retail,,427.715.101,3.501.335,12.874.225,"18,82%",427.715.101,3.501.335,13.430.254,"18,82%",,,427715101.0,3501335.0,12874225.0,0.1882,427715101.0,3501335.0,13430254.0,0.1882
8,8,8,Công ty SADO,(6),633.806.134,3.098.884,(**),"99,52%",205.884.334,3.098.884,(**),"99,52%",,-6.0,633806134.0,3098884.0,,0.9952,205884334.0,3098884.0,,0.9952
9,9,9,Công ty One Mount Group,(1),277.195.596,2.775.324,(**),"51,22%",230.330.053,2.306.669,(**),"51,22%",,-1.0,277195596.0,2775324.0,,0.5122,230330053.0,2306669.0,,0.5122
10,10,10,Công ty Xavinco,,190.875.000,2.071.029,(**),"95,44%",190.875.000,2.071.029,(**),"95,44%",,,190875000.0,2071029.0,,0.9544,190875000.0,2071029.0,,0.9544
11,11,11,Công ty Vinpearl Invest,,69.343.390,1.901.422,(**),"69,69%",69.343.390,1.901.422,(**),"69,69%",,,69343390.0,1901422.0,,0.6969,69343390.0,1901422.0,,0.6969
12,12,12,Công ty VinAcademy,"(2),(3)",(*),1.776.641,(**),"98,70%",(*),1.692.000,(**),"94,00%",,,,1776641.0,,0.987,,1692000.0,,0.94
13,13,13,Công ty Hội chợ Trần lâm Việt Nam,,138.810.945,1.395.330,32.770.488,"83,32%",138.810.945,1.395.330,12.028.894,"83,32%",,,138810945.0,1395330.0,32770488.0,0.8331999999999999,138810945.0,1395330.0,12028894.0,0.8331999999999999
14,14,14,Công ty Vingroup Investment Việt Nam,(3),-,-,-,-,401.838.000,4.018.380,(**),"99,23%",,-3.0,,,,,401838000.0,4018380.0,,0.9923000000000001
15,15,15,Các công ty con khác,,,7.590.311,,,,5.582.540,,,,,,7590311.0,,,,5582540.0,,
,,,TỔNG CỘNG,,,125.904.583,,,,95.627.872,,,,,,125904583.0,,,,95627872.0,,
,,,Dự phòng đầu tư vào các công ty con,,,(22.940.043),,,,(8.039.760),,,,,,-22940043.0,,,,-8039760.0,,
