row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: triệu VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: triệu VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,23.2.1,1.647.983,998.642,(1.650.000),996.625,2321.0,1647983.0,998642.0,-1650000.0,996625.0
Vay dài hạn đến hạn trả của khoản vay hợp vốn,Vay ngắn hạn > Vay dài hạn đến hạn trả của khoản vay hợp vốn,Vay dài hạn đến hạn trả của khoản vay hợp vốn,23.2.2,3.692.507,960.720,(3.717.551),935.676,2322.0,3692507.0,960720.0,-3717551.0,935676.0
Vay các bên liên quan ngắn hạn,Vay ngắn hạn > Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,33.4,3.469.500,27.867.259,(31.336.759),-,334.0,3469500.0,27867259.0,-31336759.0,
Vay ngân hàng ngắn hạn,Vay ngắn hạn > Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,23.1,-,1.985.480,(981.096),1.004.384,231.0,,1985480.0,-981096.0,1004384.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,8.809.990,31.812.101,(37.685.406),2.936.685,,8809990.0,31812101.0,-37685406.0,2936685.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,23.2.1,3.027.829,17.883.192,(2.111.626),18.799.395,2321.0,3027829.0,17883192.0,-2111626.0,18799395.0
Khoản vay hợp vốn,Vay dài hạn > Khoản vay hợp vốn,Khoản vay hợp vốn,23.2.2,5.660.336,14.757.491,(969.826),19.448.001,2322.0,5660336.0,14757491.0,-969826.0,19448001.0
Vay các bên liên quan dài hạn,Vay dài hạn > Vay các bên liên quan dài hạn,Vay các bên liên quan dài hạn,33.4,3.850.005,14.820.252,(5.818.255),12.852.002,334.0,3850005.0,14820252.0,-5818255.0,12852002.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,12.538.170,47.460.935,(8.899.707),51.099.398,,12538170.0,47460935.0,-8899707.0,51099398.0
