row_label_raw,row_label_full,col_0,Quyền sử dụng đấtvà nhà cửa vật kiến trúc,"Máy móc,thiết bị",Tổng cộng,numeric__Quyền sử dụng đấtvà nhà cửa vật kiến trúc,"numeric__Máy móc,thiết bị",numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,5.987.256,2.851.372,8.838.628,5987256.0,2851372.0,8838628.0
Xây dựng cơ bản hoàn thành,Nguyên giá: > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,459,-,459,459.0,,459.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.717.116),(923.503),(2.640.619),-1717116.0,-923503.0,-2640619.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(215.631),(26.460),(242.091),-215631.0,-26460.0,-242091.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.054.968,1.901.409,5.956.377,4054968.0,1901409.0,5956377.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,428.295,718.992,1.147.287,428295.0,718992.0,1147287.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,109.094,223.558,332.652,109094.0,223558.0,332652.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(141.017),(295.172),(436.189),-141017.0,-295172.0,-436189.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,396.372,647.378,1.043.750,396372.0,647378.0,1043750.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,5.558.961,2.132.380,7.691.341,5558961.0,2132380.0,7691341.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.658.596,1.254.031,4.912.627,3658596.0,1254031.0,4912627.0
