row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liên danh và chuyển nhượng các dự án bất động sản","Ngắn hạn > Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liên danh và chuyển nhượng các dự án bất động sản","Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liên danh và chuyển nhượng các dự án bất động sản",9.334.730,2.009.815,9334730.0,2009815.0
Đặt cọc để chuyển nhượng các khoản đầu tư,Ngắn hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,1.451.616,3.446.232,1451616.0,3446232.0
Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,905.363,278.495,905363.0,278495.0
Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Ngắn hạn > Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,129.592,-,129592.0,
Khác,Ngắn hạn > Khác,Khác,40.567,102.724,40567.0,102724.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,11.861.868,5.837.266,11861868.0,5837266.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,2.220.930,3.535.004,2220930.0,3535004.0
Phải trả các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan(Thuyết minh số 33.2),Phải trả các bên liên quan(Thuyết minh số 33.2),9.640.938,2.302.262,9640938.0,2302262.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản","Dài hạn > Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản","Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản",21.699.909,20.385.933,21699909.0,20385933.0
Đặt cọc để chuyển nhượng các khoản đầu tư,Dài hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,17.349.471,14.747.853,17349471.0,14747853.0
Khác,Dài hạn > Khác,Khác,400.000,627.210,400000.0,627210.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,39.449.380,35.760.996,39449380.0,35760996.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,835.403,2.014.995,835403.0,2014995.0
Phải trả các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan(Thuyết minh số 33.2),Phải trả các bên liên quan(Thuyết minh số 33.2),38.613.977,33.746.001,38613977.0,33746001.0
