row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Nhận đặt cọc chuyển nhượng khoản đầu tư/dự án bất động sản,3.765.184,8.450.000,,,3765184.0,8450000.0
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Đi vay,5.650.000,-,,,5650000.0,
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Cho vay,-,3.000.000,,,,3000000.0
Công ty One Mount Group,Công ty One Mount Group,Công ty One Mount Group,Công ty con,Gớp vốn bằng tiền,468.655,742.678,,,468655.0,742678.0
Công ty One Mount Group,Công ty One Mount Group,Công ty One Mount Group,Công ty con,Nhận đặt cọc chuyển nhượng khoản đầu tư,356.600,-,,,356600.0,
Công ty VMC Holding,Công ty VMC Holding,Công ty VMC Holding,Công ty con,Gớp vốn bằng hoán đổi cổ phần trong công ty con khác,-,5.928.115,,,,5928115.0
Công ty Sinh Thái,Công ty Sinh Thái,Công ty Sinh Thái,Công ty con,Cho vay,-,2.524.000,,,,2524000.0
Công ty Phúc An,Công ty Phúc An,Công ty Phúc An,Công ty con,Gớp vốn bằng tài sản,-,482.751,,,,482751.0
Công ty Cam Ranh,Công ty Cam Ranh,Công ty Cam Ranh,Công ty con,Đi vay,3.767.000,3.828.000,,,3767000.0,3828000.0
Công ty VinITIS,Công ty VinITIS,Công ty VinITIS,Công ty con,Thanh lí tài sản,-,99.170,,,,99170.0
Công ty Vinbrain,Công ty Vinbrain,Công ty Vinbrain,Công ty con,Gớp vốn bằng tiền,459.000,-,,,459000.0,
Công ty Vinbrain,Công ty Vinbrain,Công ty Vinbrain,Công ty con,Đi vay,180.800,-,,,180800.0,
Công ty Vingroup Investment Việt Nam,Công ty Vingroup Investment Việt Nam,Công ty Vingroup Investment Việt Nam,Công ty con,Gớp vốn bằng tiền,675.000,3.518.380,,,675000.0,3518380.0
Công ty Vinpearl Invest,Công ty Vinpearl Invest,Công ty Vinpearl Invest,Công ty con,Cho vay,1.183.900,715.700,,,1183900.0,715700.0
Công ty Vinpearl Invest,Công ty Vinpearl Invest,Công ty Vinpearl Invest,Công ty con,Nhận chuyển nhượng khoản đầu tư,584.400,-,,,584400.0,
Công ty VinHMS,Công ty VinHMS,Công ty VinHMS,Công ty con,Cho vay,102.600,124.831,,,102600.0,124831.0
Công ty VinCSS,Công ty VinCSS,Công ty VinCSS,Công ty con,Cho vay,132.600,86.376,,,132600.0,86376.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Công ty con,Đi vay,2.125.000,3.016.000,,,2125000.0,3016000.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Công ty con,Nhận hoàn vốn,626.759,-,,,626759.0,
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Công ty con,Cho vay,165.000,3.000,,,165000.0,3000.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Công ty con,Chỉ phí tài trợ,199.260,71.378,,,199260.0,71378.0
Công ty Thiên Niên Kỳ,Công ty Thiên Niên Kỳ,Công ty Thiên Niên Kỳ,Công ty con,Cho vay,-,1.484.500,,,,1484500.0
Công ty Vantix,Công ty Vantix,Công ty Vantix,Công ty con,Đi vay,412.500,-,,,412500.0,
Công ty Vantix,Công ty Vantix,Công ty Vantix,Công ty con,Gớp vốn bằng tiền,298.125,-,,,298125.0,
