row_label_raw,row_label_full,col_0,Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Trả trước theo hợp đồng xây dựng (i),Trả trước theo hợp đồng xây dựng (i),Trả trước theo hợp đồng xây dựng (i),8.030.417,7.804.450,8030417.0,7804450.0
Trả trước theo các hợp đồng chuyển nhượng bất động sản,Trả trước theo các hợp đồng chuyển nhượng bất động sản,Trả trước theo các hợp đồng chuyển nhượng bất động sản,2.693.955,1.048.446,2693955.0,1048446.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.724.372,8.852.896,10724372.0,8852896.0
