row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 23) > Công ty Vinmec,Mối quan hệ > Vay ngắn hạn (Thuyết minh số 23) > Công ty con,Số đầu nămTriệu VND > Vay ngắn hạn (Thuyết minh số 23) > 3.469.500,"Lãi suất%/năm > Vay ngắn hạn (Thuyết minh số 23) > 9,00",Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 23) > Tháng 6 năm 2021,numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 23) > Công ty con,numeric__Số đầu nămTriệu VND > Vay ngắn hạn (Thuyết minh số 23) > 3.469.500,"numeric__Lãi suất%/năm > Vay ngắn hạn (Thuyết minh số 23) > 9,00",numeric__Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 23) > Tháng 6 năm 2021
,,,,3.469.500,,,,3469500.0,,
Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),,,,
Công ty VinAcademy,Vay dài hạn (Thuyết minh số 23) > Công ty VinAcademy,Công ty VinAcademy,Công ty con,2.081.000,"9,00",Tháng 7 năm 2022,,2081000.0,9.0,
Công ty VinBus,Vay dài hạn (Thuyết minh số 23) > Công ty VinBus,Công ty VinBus,Công ty con,709.800,"9,00",Tháng 7 năm 2022,,709800.0,9.0,
Công ty Công viên trung tâm,Vay dài hạn (Thuyết minh số 23) > Công ty Công viên trung tâm,Công ty Công viên trung tâm,Công ty con,360.000,"9,00",Tháng 9 năm 2022,,360000.0,9.0,
Các công ty khác,Vay dài hạn (Thuyết minh số 23) > Các công ty khác,Các công ty khác,Công ty con,699.205,"9,00",Từ tháng 3 đến tháng 7 năm 2022,,699205.0,9.0,
,,,,3.850.005,,,,3850005.0,,
