row_label_raw,row_label_full,Số đầu năm > Tăng trong năm > Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14) > Chuyển sang bất động sản đầu tư(Thuyết minh số 15),Đơn vị tính: triệu VND > Năm nay > 3.349.656 > 1.013.925 > (4.610) > (459),Đơn vị tính: triệu VND > Năm trước > 3.801.071 > 661.506 > (39.435) > (132.700),numeric__Đơn vị tính: triệu VND > Năm nay > 3.349.656 > 1.013.925 > (4.610) > (459),numeric__Đơn vị tính: triệu VND > Năm trước > 3.801.071 > 661.506 > (39.435) > (132.700)
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(520.911),(940.786),-520911.0,-940786.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,(559.970),,-559970.0,
Số cuối năm,Số cuối năm,Số cuối năm,3.277.631,3.349.656,3277631.0,3349656.0
