row_label_raw,row_label_full,col_0,Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,1.467.021,1.042.095,1467021.0,1042095.0
Phải trả các bên liên quan(Thuyết minh số 33.2),Phải trả các bên liên quan(Thuyết minh số 33.2),Phải trả các bên liên quan(Thuyết minh số 33.2),591.544,34.820,591544.0,34820.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.058.565,1.076.915,2058565.0,1076915.0
