row_label_raw,row_label_full,Ông Nguyễn Thế Anh,Trường Ban kiểm soát,col_2,numeric__Trường Ban kiểm soát,numeric__col_2
Bà Đỗ Thị Hồng Vân,Bà Đỗ Thị Hồng Vân,Bà Đỗ Thị Hồng Vân,Thành viên,,,
Bà Nguyễn Hồng Mai,Bà Nguyễn Hồng Mai,Bà Nguyễn Hồng Mai,Thành viên,bổ nhiệm ngày 31 tháng 3 năm 2021,,
Ông Đình Ngọc Lân,Ông Đình Ngọc Lân,Ông Đình Ngọc Lân,Thành viên,miễn nhiệm ngày 31 tháng 3 năm 2021,,
