row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: triệu VND > Số đầu năm,Đơn vị tính: triệu VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm_1
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,125.904.583,(22.940.043),95.627.872,(8.039.760),125904583.0,-22940043.0,95627872.0,-8039760.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,868.630,(60.800),1.534.828,(138.862),868630.0,-60800.0,1534828.0,-138862.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,-,-,20.000,-,,,20000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,126.773.213,(23.000.843),97.182.700,(8.178.622),126773213.0,-23000843.0,97182700.0,-8178622.0
