row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,"Phải trả về tư vấn, quản lý dự án",235.206,594,,,235206.0,594.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,"Phải trả mua hàng hóa, dịch vụ",115.454,4.936,,,115454.0,4936.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,"Phải trả mua hàng hóa, dịch vụ",240.884,29.290,,,240884.0,29290.0
,,,,,591.544,34.820,,,591544.0,34820.0
▶ Chi phí phải trả ngắn hạn (Thuyết minh số 21),▶ Chi phí phải trả ngắn hạn (Thuyết minh số 21),▶ Chi phí phải trả ngắn hạn (Thuyết minh số 21),▶ Chi phí phải trả ngắn hạn (Thuyết minh số 21),▶ Chi phí phải trả ngắn hạn (Thuyết minh số 21),▶ Chi phí phải trả ngắn hạn (Thuyết minh số 21),▶ Chi phí phải trả ngắn hạn (Thuyết minh số 21),,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,,,,
Công ty Thành phố Xanh,Bên liên quan > Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty con,Lãi vay phải trả,5.637,5.637,,,5637.0,5637.0
Công ty Vinsmart,Bên liên quan > Công ty Vinsmart,Công ty Vinsmart,Công ty con,Phải trả khác,3.762,-,,,3762.0,
Công ty VinAcademy,Bên liên quan > Công ty VinAcademy,Công ty VinAcademy,Công ty con,Lãi vay phải trả,-,57.712,,,,57712.0
Công ty Cam Ranh,Bên liên quan > Công ty Cam Ranh,Công ty Cam Ranh,Công ty con,Lãi vay phải trả,-,56.155,,,,56155.0
Các công ty khác,Bên liên quan > Các công ty khác,Các công ty khác,Công ty con,Phải trả khác,417,23.004,,,417.0,23004.0
,,,,,9.816,142.508,,,9816.0,142508.0
▶ Chi phí phải trả dài hạn (Thuyết minh số 21),▶ Chi phí phải trả dài hạn (Thuyết minh số 21),▶ Chi phí phải trả dài hạn (Thuyết minh số 21),▶ Chi phí phải trả dài hạn (Thuyết minh số 21),▶ Chi phí phải trả dài hạn (Thuyết minh số 21),▶ Chi phí phải trả dài hạn (Thuyết minh số 21),▶ Chi phí phải trả dài hạn (Thuyết minh số 21),,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,,,,
Công ty VinAcademy,Bên liên quan > Công ty VinAcademy,Công ty VinAcademy,Công ty con,Lãi vay phải trả,73.847,-,,,73847.0,
Công ty VinBus,Bên liên quan > Công ty VinBus,Công ty VinBus,Công ty con,Lãi vay phải trả,60.366,-,,,60366.0,
Công ty VinES Hà Tĩnh,Bên liên quan > Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty con,Lãi vay phải trả,41.187,-,,,41187.0,
Công ty Vinschool,Bên liên quan > Công ty Vinschool,Công ty Vinschool,Công ty con,Lãi vay phải trả,19.497,-,,,19497.0,
Các công ty khác,Bên liên quan > Các công ty khác,Các công ty khác,Công ty con,Lãi vay phải trả,73.900,-,,,73900.0,
