row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,34.309.140,37.702.691,46.000,5.184.675,77.242.506,34309140.0,37702691.0,46000.0,5184675.0,77242506.0
- Phát hành cổ phiếu phổ thông,Năm trước > - Phát hành cổ phiếu phổ thông,- Phát hành cổ phiếu phổ thông,138.551,1.450.622,-,-,1.589.173,138551.0,1450622.0,,,1589173.0
- Trích quỹ khác,Năm trước > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,1.009.234,1.009.234,,,,1009234.0,1009234.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,34.447.691,39.153.313,51.000,6.188.909,79.840.913,34447691.0,39153313.0,51000.0,6188909.0,79840913.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,34.447.691,39.153.313,51.000,6.188.909,79.840.913,34447691.0,39153313.0,51000.0,6188909.0,79840913.0
- Trả cổ tức bằng cổ phiếu (i),Năm nay > - Trả cổ tức bằng cổ phiếu (i),- Trả cổ tức bằng cổ phiếu (i),4.227.842,-,-,(4.227.842),-,4227842.0,,,-4227842.0,
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,4.382.104,4.382.104,,,,4382104.0,4382104.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,38.675.533,39.153.313,56.000,6.338.171,84.223.017,38675533.0,39153313.0,56000.0,6338171.0,84223017.0
