row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiện vậntái và thiết bịtruyền dẫn,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiện vậntái và thiết bịtruyền dẫn,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.901.233.012.371,11.234.821.507.322,144.529.035.690,89.958.044.598,59.635.237.927,15.430.176.837.908,3901233012371.0,11234821507322.0,144529035690.0,89958044598.0,59635237927.0,15430176837908.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,7.783.536.644,49.744.878.028,70.802.373.073,20.443.593.753,-,148.774.381.498,7783536644.0,49744878028.0,70802373073.0,20443593753.0,,148774381498.0
Đầu tư xây dựng,NGUYÊN GIÁ > Đầu tư xây dựng,Đầu tư xây dựng,67.631.203.381,14.916.925.409,755.724.586,-,-,83.303.853.376,67631203381.0,14916925409.0,755724586.0,,,83303853376.0
cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,cơ bản hoàn thành,,,,,,
Phân loại lại,cơ bản hoàn thành > Phân loại lại,Phân loại lại,(1.130.942.616),1.130.942.616,-,-,-,-,-1130942616.0,1130942616.0,,,,
Thanh lý,cơ bản hoàn thành > Thanh lý,Thanh lý,-,-,(592.497.965),(4.482.809.999),-,(5.075.307.964),,,-592497965.0,-4482809999.0,,-5075307964.0
Tăng do hợp nhấtkinh doanh,cơ bản hoàn thành > Tăng do hợp nhấtkinh doanh,Tăng do hợp nhấtkinh doanh,326.104.941.022,502.674.374.222,3.187.211.571,336.591.951,255.741.098,832.558.859.864,326104941022.0,502674374222.0,3187211571.0,336591951.0,255741098.0,832558859864.0
Giảm khác,cơ bản hoàn thành > Giảm khác,Giảm khác,(3.406.969.666),-,-,-,-,(3.406.969.666),-3406969666.0,,,,,-3406969666.0
Số dư cuối năm,cơ bản hoàn thành > Số dư cuối năm,Số dư cuối năm,4.298.214.781.136,11.803.288.627.597,218.681.846.955,106.255.420.303,59.890.979.025,16.486.331.655.016,4298214781136.0,11803288627597.0,218681846955.0,106255420303.0,59890979025.0,16486331655016.0
GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒNLỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.289.064.762.330,10.669.694.318.445,94.092.830.407,67.921.989.698,59.635.237.927,14.180.409.138.807,3289064762330.0,10669694318445.0,94092830407.0,67921989698.0,59635237927.0,14180409138807.0
