row_label_raw,row_label_full,Năm trước,Nội địa,Nước ngoài,Tổng cộng,numeric__Nội địa,numeric__Nước ngoài,numeric__Tổng cộng
,,,VND,VND,VND,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,9.449.761.464.592,3.120.780.625.236,12.570.542.089.828,9449761464592.0,3120780625236.0,12570542089828.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(7.881.672.365.118),(2.657.070.042.850),(10.538.742.407.968),-7881672365118.0,-2657070042850.0,-10538742407968.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,1.568.089.099.474,463.710.582.386,2.031.799.681.860,1568089099474.0,463710582386.0,2031799681860.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,(800.631.458.171),,,-800631458171.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,(548.556.889.165),,,-548556889165.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,577.088.490.762,,,577088490762.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(27.372.487.527),,,-27372487527.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,24.751.516.067,,,24751516067.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(2.269.270.186),,,-2269270186.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,1.254.809.583.640,,,1254809583640.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(146.468.525.391),,,-146468525391.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,1.801.658.643,,,1801658643.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,1.110.142.716.892,,,1110142716892.0
