row_label_raw,row_label_full,Tên công ty con,Nơi thành lập Tỷ lệ phần Tỷ lệ quyền biểu và hoạt động sở hữu (%)quyết nằm giữ (%),Nơi thành lập Tỷ lệ phần Tỷ lệ quyền biểu và hoạt động sở hữu (%)quyết nằm giữ (%)_1,Nơi thành lập Tỷ lệ phần Tỷ lệ quyền biểu và hoạt động sở hữu (%)quyết nằm giữ (%)_2,Hoạt động chính,numeric__Nơi thành lập Tỷ lệ phần Tỷ lệ quyền biểu và hoạt động sở hữu (%)quyết nằm giữ (%),numeric__Nơi thành lập Tỷ lệ phần Tỷ lệ quyền biểu và hoạt động sở hữu (%)quyết nằm giữ (%)_1,numeric__Nơi thành lập Tỷ lệ phần Tỷ lệ quyền biểu và hoạt động sở hữu (%)quyết nằm giữ (%)_2,numeric__Hoạt động chính
Công ty TNHH Phân bón Hàn - Việt (*),Công ty TNHH Phân bón Hàn - Việt (*),Công ty TNHH Phân bón Hàn - Việt (*),Thành phố Hồ Chí Minh,100,100,Sản xuất phân bón,,100.0,100.0,
Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Bạc Liêu,"51,03","51,03",Sản xuất bao bì và phân bón,,51.03,51.03,
