row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tỉnh VND,"Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tỉnh VND,"numeric__Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,310.764.635.175,809.328.407.393,1.598.611.390.085,937.597.595.135,3.656.302.027.788,310764635175.0,809328407393.0,1598611390085.0,937597595135.0,3656302027788.0
Tăng do mua sắm,Nguyên giá > Tăng do mua sắm,Tăng do mua sắm,5.622.799.997,35.882.253.244,3.248.293.394,359.583.900,45.112.930.535,5622799997.0,35882253244.0,3248293394.0,359583900.0,45112930535.0
Tăng do XDCB hoàn thành,Nguyên giá > Tăng do XDCB hoàn thành,Tăng do XDCB hoàn thành,56.367.211.316,113.432.616.125,159.511.763.605,-,329.311.591.046,56367211316.0,113432616125.0,159511763605.0,,329311591046.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(36.977.373.524),(17.866.023.900),-,(54.843.397.424),,-36977373524.0,-17866023900.0,,-54843397424.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,1.643.762.580,10.837.797.313,(119.658.808.438),177.206.967,(107.000.041.578),1643762580.0,10837797313.0,-119658808438.0,177206967.0,-107000041578.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,374.398.409.068,932.503.700.551,1.623.846.614.746,938.134.386.002,3.868.883.110.367,374398409068.0,932503700551.0,1623846614746.0,938134386002.0,3868883110367.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(16.580.844.036),(590.387.665.771),(885.001.543.224),(124.811.458.635),(1.616.781.511.666),-16580844036.0,-590387665771.0,-885001543224.0,-124811458635.0,-1616781511666.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(2.016.916.001),(118.271.546.982),(180.024.605.139),(59.606.055.108),(359.919.123.230),-2016916001.0,-118271546982.0,-180024605139.0,-59606055108.0,-359919123230.0
"Thanh lý, xóa số","Giá trị khấu hao lũy kế > Thanh lý, xóa số","Thanh lý, xóa số",-,27.556.020.906,17.866.023.900,-,45.422.044.806,,27556020906.0,17866023900.0,,45422044806.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,(9.445.977.996),-,(62.390.085),(9.508.368.081),,-9445977996.0,,-62390085.0,-9508368081.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(18.597.760.037),(690.549.169.843),(1.047.160.124.463),(184.479.903.828),(1.940.786.958.171),-18597760037.0,-690549169843.0,-1047160124463.0,-184479903828.0,-1940786958171.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,294.183.791.139,218.940.741.622,713.609.846.861,812.786.136.500,2.039.520.516.122,294183791139.0,218940741622.0,713609846861.0,812786136500.0,2039520516122.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,355.800.649.031,241.954.530.708,576.686.490.283,753.654.482.174,1.928.096.152.196,355800649031.0,241954530708.0,576686490283.0,753654482174.0,1928096152196.0
