row_label_raw,row_label_full,col_0,Vốn góp VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá hối đoai VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hối đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tai ngày 31/12/2024,Tai ngày 31/12/2024,Tai ngày 31/12/2024,2.792.973.085.293,122.415.334.866,30.113.842.695,6.066.292.299,1.153.220.275.158,-,1.828.520.790.693,5.933.309.621.004,2792973085293.0,122415334866.0,30113842695.0,6066292299.0,1153220275158.0,,1828520790693.0,5933309621004.0
Tai ngày 31/12/2025,Tai ngày 31/12/2025,Tai ngày 31/12/2025,5.248.044.273.002,122.415.334.866,30.113.833.045,(71.701.140.381),315.538.546.255,8.320.427.997,1.612.365.527.983,7.265.096.802.767,5248044273002.0,122415334866.0,30113833045.0,-71701140381.0,315538546255.0,8320427997.0,1612365527983.0,7265096802767.0
