row_label_raw,row_label_full,col_0,col_1,Tại ngày 1/1/2025 > Giá trị VND,Tại ngày 1/1/2025 > Số có khả năng trả nợ VND,Phát sinh trong năm > Tăng VND,Phát sinh trong năm > Giảm VND,Phát sinh trong năm > Chênh lệch tỷ giá hối đoái VND,Tại ngày 31/12/2025 > Giá trị VND,Tại ngày 31/12/2025 > Số có khả năng trả nợ VND,numeric__col_1,numeric__Tại ngày 1/1/2025 > Giá trị VND,numeric__Tại ngày 1/1/2025 > Số có khả năng trả nợ VND,numeric__Phát sinh trong năm > Tăng VND,numeric__Phát sinh trong năm > Giảm VND,numeric__Phát sinh trong năm > Chênh lệch tỷ giá hối đoái VND,numeric__Tại ngày 31/12/2025 > Giá trị VND,numeric__Tại ngày 31/12/2025 > Số có khả năng trả nợ VND
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,
(a),(a),(a),Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
(a),(a) > (a),(a),Vay ngân hàng (i),14.317.135.323.689,14.317.135.323.689,40.158.119.595.353,(36.734.356.051.018),26.894.931.848,17.767.793.799.872,17.767.793.799.872,,14317135323689.0,14317135323689.0,40158119595353.0,-36734356051018.0,26894931848.0,17767793799872.0,17767793799872.0
(a),(a) > (a),(a),Vay bên liên quan (Thuyết minh 35(a)),-,-,408.107.000.000,-,-,408.107.000.000,408.107.000.000,,,,408107000000.0,,,408107000000.0,408107000000.0
(a),(a),(a),Vay và nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính dài hạn đến hạn trả,,,,,,,,
(a),(a) > (a),(a),Vay ngân hàng (ii),128.186.966.341,128.186.966.341,1.024.575.254.125,(156.628.776.583),(2.870.893.178),993.262.550.705,993.262.550.705,,128186966341.0,128186966341.0,1024575254125.0,-156628776583.0,-2870893178.0,993262550705.0,993262550705.0
(a),(a) > (a),(a),Nợ thuê tài chính,916.161.293,916.161.293,558.593.069,(986.795.056),46.188.072,534.147.378,534.147.378,,916161293.0,916161293.0,558593069.0,-986795056.0,46188072.0,534147378.0,534147378.0
(a),(a) > (a),(a),,14.446.238.451.323,14.446.238.451.323,41.591.360.442.547,(36.891.971.622.657),24.070.226.742,19.169.697.497.955,19.169.697.497.955,,14446238451323.0,14446238451323.0,41591360442547.0,-36891971622657.0,24070226742.0,19169697497955.0,19169697497955.0
(b),(b),(b),Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,,,
(b),(b) > (b),(b),Vay ngân hàng (ii),499.673.187.459,499.673.187.459,2.504.586.289.721,(1.024.575.254.125),(76.852.563.017),1.902.831.660.038,1.902.831.660.038,,499673187459.0,499673187459.0,2504586289721.0,-1024575254125.0,-76852563017.0,1902831660038.0,1902831660038.0
(b),(b) > (b),(b),Nợ thuê tài chính,1.442.349.616,1.442.349.616,-,(558.593.069),74.571.599,958.328.146,958.328.146,,1442349616.0,1442349616.0,,-558593069.0,74571599.0,958328146.0,958328146.0
(b),(b) > (b),(b),,501.115.537.075,501.115.537.075,2.504.586.289.721,(1.025.133.847.194),(76.777.991.418),1.903.789.988.184,1.903.789.988.184,,501115537075.0,501115537075.0,2504586289721.0,-1025133847194.0,-76777991418.0,1903789988184.0,1903789988184.0
