row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tai ngày 1/1/2024,Tai ngày 1/1/2024,Tai ngày 1/1/2024,12.699.688.750.000,49.713.213.411,1.928.602.158.147,(17.778.502.626),1.549.850.939.920,87.203.093.024,8.674.126.708.670,24.971.406.360.546,12699688750000.0,49713213411.0,1928602158147.0,-17778502626.0,1549850939920.0,87203093024.0,8674126708670.0,24971406360546.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,106.211.170.000,-,-,-,-,-,-,106.211.170.000,106211170000.0,,,,,,,106211170000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.856.767.812.178,7.856.767.812.178,,,,,,,7856767812178.0,7856767812178.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(624.987.179.579),(624.987.179.579),,,,,,,-624987179579.0,-624987179579.0
Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,-,-,-,-,483.438.201.615,-,(188.268.828.315),295.169.373.300,,,,,483438201615.0,,-188268828315.0,295169373300.0
Tăng vốn từ nguồn vốn chủ sở hữu cho cổ đông hiện hữu,Tăng vốn từ nguồn vốn chủ sở hữu cho cổ đông hiện hữu,Tăng vốn từ nguồn vốn chủ sở hữu cho cổ đông hiện hữu,1.904.791.910.000,-,-,-,-,-,(1.904.791.910.000),-,1904791910000.0,,,,,,-1904791910000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,(2.741.038.058.000),(2.741.038.058.000),,,,,,,-2741038058000.0,-2741038058000.0
Khác,Khác,Khác,-,-,410.545.307,(31.707.058.234),-,527.391.801,(41.279.873.523),(72.048.994.649),,,410545307.0,-31707058234.0,,527391801.0,-41279873523.0,-72048994649.0
Tai ngày 31/12/2024,Tai ngày 31/12/2024,Tai ngày 31/12/2024,14.710.691.830.000,49.713.213.411,1.929.012.703.454,(49.485.560.860),2.033.289.141.535,87.730.484.825,11.030.528.671.431,29.791.480.483.796,14710691830000.0,49713213411.0,1929012703454.0,-49485560860.0,2033289141535.0,87730484825.0,11030528671431.0,29791480483796.0
Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),102.609.390.000,-,-,-,-,-,-,102.609.390.000,102609390000.0,,,,,,,102609390000.0
Tăng vốn từ nguồn vốn chủ sở hữu cho cổ đông hiện hữu (ii),Tăng vốn từ nguồn vốn chủ sở hữu cho cổ đông hiện hữu (ii),Tăng vốn từ nguồn vốn chủ sở hữu cho cổ đông hiện hữu (ii),2.221.769.990.000,-,1.570.534.666.498,-,(968.864.144.515),-,(2.823.440.511.983),-,2221769990000.0,,1570534666498.0,,-968864144515.0,,-2823440511983.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,9.376.127.629.501,9.376.127.629.501,,,,,,,9376127629501.0,9376127629501.0
Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),-,-,-,-,-,-,(3.184.837.243.000),(3.184.837.243.000),,,,,,,-3184837243000.0,-3184837243000.0
"Trích quỹ khen thưởng, phúc lợi (iii)","Trích quỹ khen thưởng, phúc lợi (iii)","Trích quỹ khen thưởng, phúc lợi (iii)",-,-,-,-,-,-,(510.167.707.669),(510.167.707.669),,,,,,,-510167707669.0,-510167707669.0
Trích và sử dụng quỹ đầu tư phát triển (iii),Trích và sử dụng quỹ đầu tư phát triển (iii),Trích và sử dụng quỹ đầu tư phát triển (iii),-,-,-,-,510.942.590.152,-,(265.095.862.269),245.846.727.883,,,,,510942590152.0,,-265095862269.0,245846727883.0
Khác,Khác,Khác,-,-,-,(20.700.295.726),-,533.144.062,679.301.815.925,659.134.664.261,,,,-20700295726.0,,533144062.0,679301815925.0,659134664261.0
Tai ngày 31/12/2025,Tai ngày 31/12/2025,Tai ngày 31/12/2025,17.035.071.210.000,49.713.213.411,3.499.547.369.952,(70.185.856.586),1.575.367.587.172,88.263.628.887,14.302.416.791.936,36.480.193.944.772,17035071210000.0,49713213411.0,3499547369952.0,-70185856586.0,1575367587172.0,88263628887.0,14302416791936.0,36480193944772.0
