row_label_raw,row_label_full,Ngoại tệ,31/12/2025,31/12/2025_1,31/12/2024,31/12/2024_1,numeric__31/12/2025,numeric__31/12/2025_1,numeric__31/12/2024,numeric__31/12/2024_1
Ngoại tệ,Ngoại tệ,Ngoại tệ,Tổng số dư ngoại tệ,Số dư ngoại tệ đã được phòng ngừa rủi ro,Tổng số dư ngoại tệ,Số dư ngoại tệ đã được phòng ngừa rủi ro,,,,
USD,Ngoại tệ > USD,USD,"6.750.000,00","6.750.000,00","32.900.000,00","25.000.000,00",6750000.0,6750000.0,32900000.0,25000000.0
