row_label_raw,row_label_full,Chi phí triển khai dịch vụ viễn thông cho thuê bao mới,2.055.454.565.292,1.804.520.929.972,numeric__2.055.454.565.292,numeric__1.804.520.929.972
"Chi phí thuê đất, cải tạo văn phòng và nội thất","Chi phí thuê đất, cải tạo văn phòng và nội thất","Chi phí thuê đất, cải tạo văn phòng và nội thất",1.264.281.458.521,1.144.461.379.441,1264281458521.0,1144461379441.0
Khác,Khác,Khác,880.494.359.253,816.205.316.004,880494359253.0,816205316004.0
,,,4.200.230.383.066,3.765.187.625.417,4200230383066.0,3765187625417.0
