row_label_raw,row_label_full,col_0,Công nghệ thông tin và viễn thông,Công nghệ thông tin và viễn thông_1,Công nghệ thông tin và viễn thông_2,Công nghệ thông tin và viễn thông_3,"Đầu tư, giáo dục và khác",Loại trừ hợp nhất,Tổng cộng,numeric__Công nghệ thông tin và viễn thông,numeric__Công nghệ thông tin và viễn thông_1,numeric__Công nghệ thông tin và viễn thông_2,numeric__Công nghệ thông tin và viễn thông_3,"numeric__Đầu tư, giáo dục và khác",numeric__Loại trừ hợp nhất,numeric__Tổng cộng
,,,Sản phẩm và Dịch vụ CNTT nước ngoài,Sản phẩm và Dịch vụ CNTT trong nước,Viễn thông,Nội dung số,"Đầu tư, giáo dục và khác",Loại trừ hợp nhất,Tổng cộng,,,,,,,
Doanh thu thuần theo bộ phận,Doanh thu thuần theo bộ phận,Doanh thu thuần theo bộ phận,30.952.512(26.223.076),8.157.364(7.774.217),16.905.897(13.728.756),704.503(573.344),7.444.159(5.308.937),(1.315.641)1.267.883,62.848.794(52.340.447),,,,,,,
Chỉ phí theo bộ phận (*),Chỉ phí theo bộ phận (*),Chỉ phí theo bộ phận (*),,,,,,,,,,,,,,
Trong đó:- Tổng chi phí khấu hao TSCĐ vàphân bổ LTTM,Chỉ phí theo bộ phận (*) > Trong đó:- Tổng chi phí khấu hao TSCĐ vàphân bổ LTTM,Trong đó:- Tổng chi phí khấu hao TSCĐ vàphân bổ LTTM,(658.053),(187.498),(1.368.719),(3.565),(346.445),28.982,(2.535.298),-658053.0,-187498.0,-1368719.0,-3565.0,-346445.0,28982.0,-2535298.0
- Tổng phân bổ chi phí trả trước dài hạn,Chỉ phí theo bộ phận (*) > - Tổng phân bổ chi phí trả trước dài hạn,- Tổng phân bổ chi phí trả trước dài hạn,(200.481),(28.966),(1.674.772),(3.148),(172.009),11.107,(2.068.269),-200481.0,-28966.0,-1674772.0,-3148.0,-172009.0,11107.0,-2068269.0
"Phần (lỗ)/lãi trong công ty liên doanh, liên kết","Chỉ phí theo bộ phận (*) > Phần (lỗ)/lãi trong công ty liên doanh, liên kết","Phần (lỗ)/lãi trong công ty liên doanh, liên kết",2.119,(56),-,-,390.468,-,392.531,2119.0,-56.0,,,390468.0,,392531.0
Kết quả HĐKD theo bộ phận,Chỉ phí theo bộ phận (*) > Kết quả HĐKD theo bộ phận,Kết quả HĐKD theo bộ phận,4.731.555,383.091,3.177.141,131.159,2.525.690,(47.758),10.900.878,4731555.0,383091.0,3177141.0,131159.0,2525690.0,-47758.0,10900878.0
Lợi nhuận trước thuế theo bộ phận,Chỉ phí theo bộ phận (*) > Lợi nhuận trước thuế theo bộ phận,Lợi nhuận trước thuế theo bộ phận,4.769.586,460.526,3.420.133,167.465,7.493.034,(5.241.078),11.069.666,4769586.0,460526.0,3420133.0,167465.0,7493034.0,-5241078.0,11069666.0
Tổng chi phí đã phát sinh để mua TSCĐvà các tài sản dài hạn khác,Chỉ phí theo bộ phận (*) > Tổng chi phí đã phát sinh để mua TSCĐvà các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua TSCĐvà các tài sản dài hạn khác,1.251.781,407.397,3.067.731,5.081,1.233.301,109.238,6.074.529,1251781.0,407397.0,3067731.0,5081.0,1233301.0,109238.0,6074529.0
Tài sản bộ phận tại 31/12/2024,Chỉ phí theo bộ phận (*) > Tài sản bộ phận tại 31/12/2024,Tài sản bộ phận tại 31/12/2024,24.664.380,9.413.307,23.649.241,1.012.765,26.338.566,(13.078.263),71.999.996,24664380.0,9413307.0,23649241.0,1012765.0,26338566.0,-13078263.0,71999996.0
Nợ phải trả bộ phận tại 31/12/2024,Chỉ phí theo bộ phận (*) > Nợ phải trả bộ phận tại 31/12/2024,Nợ phải trả bộ phận tại 31/12/2024,14.899.508,6.294.529,13.173.832,174.064,14.239.677,(12.509.154),36.272.456,14899508.0,6294529.0,13173832.0,174064.0,14239677.0,-12509154.0,36272456.0
