row_label_raw,row_label_full,Số dư cuối năm,31/12/2019VNDPhải thu/(Phải trả),31/12/2018VND,numeric__31/12/2019VNDPhải thu/(Phải trả),numeric__31/12/2018VND
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,,,,
Tiền gửi,Tổng Công ty Bến Thành – TNHH MTV > Tiền gửi,Tiền gửi,(627.468.839.719),(571.138.362.988),-627468839719.0,-571138362988.0
Lãi phải trả,Tổng Công ty Bến Thành – TNHH MTV > Lãi phải trả,Lãi phải trả,(3.509.701.369),(2.364.252.057),-3509701369.0,-2364252057.0
"Hội đồng Quản trị, Ban Tổng Giám Đốc và Ban Kiểm soát","Hội đồng Quản trị, Ban Tổng Giám Đốc và Ban Kiểm soát","Hội đồng Quản trị, Ban Tổng Giám Đốc và Ban Kiểm soát",,,,
Tiền gửi,"Hội đồng Quản trị, Ban Tổng Giám Đốc và Ban Kiểm soát > Tiền gửi",Tiền gửi,26.761.376.199,23.538.710.840,26761376199.0,23538710840.0
Lãi phải trả,"Hội đồng Quản trị, Ban Tổng Giám Đốc và Ban Kiểm soát > Lãi phải trả",Lãi phải trả,447.358.429,431.921.994,447358429.0,431921994.0
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2019VND,2018VND,,
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,,,,
Nhận tiền gửi,Tổng Công ty Bến Thành – TNHH MTV > Nhận tiền gửi,Nhận tiền gửi,1.140.527.489.531,3.167.348.137.312,1140527489531.0,3167348137312.0
Rút tiền gửi,Tổng Công ty Bến Thành – TNHH MTV > Rút tiền gửi,Rút tiền gửi,1.084.197.012.800,3.200.525.278.740,1084197012800.0,3200525278740.0
Chi phí lãi tiền gửi,Tổng Công ty Bến Thành – TNHH MTV > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,40.336.839.641,33.500.278.488,40336839641.0,33500278488.0
"Hội đồng Quản trị, Ban Kiểm soát vàBan Tổng Giám đốc","Hội đồng Quản trị, Ban Kiểm soát vàBan Tổng Giám đốc","Hội đồng Quản trị, Ban Kiểm soát vàBan Tổng Giám đốc",,,,
Thù lao trả cho các Thành viên Hội đồng Quản trị,"Hội đồng Quản trị, Ban Kiểm soát vàBan Tổng Giám đốc > Thù lao trả cho các Thành viên Hội đồng Quản trị",Thù lao trả cho các Thành viên Hội đồng Quản trị,12.589.972.000,7.498.249.499,12589972000.0,7498249499.0
Thù lao trả cho Ban Kiểm soát,"Hội đồng Quản trị, Ban Kiểm soát vàBan Tổng Giám đốc > Thù lao trả cho Ban Kiểm soát",Thù lao trả cho Ban Kiểm soát,2.033.320.000,2.197.055.000,2033320000.0,2197055000.0
"Tiền lương, thường và phụ cấp trả cho","Tiền lương, thường và phụ cấp trả cho","Tiền lương, thường và phụ cấp trả cho",,,,
Ban Tổng Giám đốc,"Tiền lương, thường và phụ cấp trả cho > Ban Tổng Giám đốc",Ban Tổng Giám đốc,35.160.056.450,25.719.968.121,35160056450.0,25719968121.0
Trả lãi tiền gửi,"Tiền lương, thường và phụ cấp trả cho > Trả lãi tiền gửi",Trả lãi tiền gửi,1.681.369.077,3.515.934.644,1681369077.0,3515934644.0
