row_label_raw,row_label_full,2019,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận chuyểnVND,Tài sảncố định khácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tài sảncố định khácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,245.192.601.272,208.160.107.288,107.281.040.966,1.425.127.387,562.058.876.913,245192601272.0,208160107288.0,107281040966.0,1425127387.0,562058876913.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,3.237.074.375,34.761.951.059,21.213.284.372,-,59.212.309.806,3237074375.0,34761951059.0,21213284372.0,,59212309806.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,4.126.741.312,11.320.994.094,12.220.123.122,-,27.667.858.528,4126741312.0,11320994094.0,12220123122.0,,27667858528.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(986.944.219),(553.681.555),(1.911.922.295),-,(3.452.548.069),-986944219.0,-553681555.0,-1911922295.0,,-3452548069.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,251.569.472.740,253.689.370.886,138.802.526.165,1.425.127.387,645.486.497.178,251569472740.0,253689370886.0,138802526165.0,1425127387.0,645486497178.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,76.593.139.831,128.681.946.555,76.151.321.410,1.425.127.387,282.851.535.183,76593139831.0,128681946555.0,76151321410.0,1425127387.0,282851535183.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,9.966.881.425,29.190.394.604,10.393.920.543,-,49.551.196.572,9966881425.0,29190394604.0,10393920543.0,,49551196572.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(829.366.745),(542.714.216),(1.911.922.295),-,(3.284.003.256),-829366745.0,-542714216.0,-1911922295.0,,-3284003256.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,85.730.654.511,157.329.626.943,84.633.319.658,1.425.127.387,329.118.728.499,85730654511.0,157329626943.0,84633319658.0,1425127387.0,329118728499.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,168.599.461.441,79.478.160.733,31.129.719.556,-,279.207.341.730,168599461441.0,79478160733.0,31129719556.0,,279207341730.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,165.838.818.229,96.359.743.943,54.169.206.507,-,316.367.768.679,165838818229.0,96359743943.0,54169206507.0,,316367768679.0
