row_label_raw,row_label_full,Tiền gửi tại Ngân hàng,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,31/12/2019,31/12/2018,,
Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,Số dư tiền gửi bình quân tháng trước của:,,,,
Khách hàng:,Khách hàng:,Khách hàng:,,,,
▪ Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,Khách hàng: > ▪ Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng ngoại tệ không kỳ hạn và có kỳ hạn dưới 12 tháng,8%,8%,0.08,0.08
▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Khách hàng: > ▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,6%,6%,0.06,0.06
▪ Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,Khách hàng: > ▪ Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng VND không kỳ hạn và có kỳ hạn dưới 12 tháng,3%,3%,0.03,0.03
▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Khách hàng: > ▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,1%,1%,0.01,0.01
Tổ chức tín dụng ở nước ngoài:,Tổ chức tín dụng ở nước ngoài:,Tổ chức tín dụng ở nước ngoài:,,,,
▪ Tiền gửi bằng ngoại tệ,Tổ chức tín dụng ở nước ngoài: > ▪ Tiền gửi bằng ngoại tệ,▪ Tiền gửi bằng ngoại tệ,1%,1%,0.01,0.01
,,,31/12/2019VND,31/12/2018VND,,
Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc,,,,
▪ Bằng VND,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > ▪ Bằng VND,▪ Bằng VND,2.063.669.535.480,1.148.495.695.389,2063669535480.0,1148495695389.0
▪ Bằng USD,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc > ▪ Bằng USD,▪ Bằng USD,8.996.420.979,126.873.102.779,8996420979.0,126873102779.0
,,,2.072.665.956.459,1.275.368.798.168,2072665956459.0,1275368798168.0
