row_label_raw,row_label_full,2019,col_1,Phát sinh trong năm > Số dưđầu nămVND,Phát sinh trong năm > Số phải thuVND,Phát sinh trong năm > Chuyển sang thuế phàinộpVND,Phát sinh trong năm > Số ducuối kỳVND,numeric__col_1,numeric__Phát sinh trong năm > Số dưđầu nămVND,numeric__Phát sinh trong năm > Số phải thuVND,numeric__Phát sinh trong năm > Chuyển sang thuế phàinộpVND,numeric__Phát sinh trong năm > Số ducuối kỳVND
Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,42.794.748,-,(42.794.748),-,,42794748.0,,-42794748.0,
,,,Số dưđầu nămVND,Chuyển từ thuếphải thuVND,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,,,,,
,,,Số dưđầu nămVND,Chuyển từ thuếphải thuVND,Số phải nộpVND,Số đã nộpVND,Số ducuối nămVND,,,,,
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,54.854.910.261,(42.794.748),648.887.617.117,(443.851.203.309),259.848.529.321,54854910261.0,-42794748.0,648887617117.0,-443851203309.0,259848529321.0
Thuế giá trị gia tăng,Thuế phải nộp Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.200.753.560,-,41.840.829.091,(41.562.846.237),6.478.736.414,6200753560.0,,41840829091.0,-41562846237.0,6478736414.0
Thuế thu nhập cá nhân,Thuế phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.099.574.793,-,85.836.606.132,(80.411.594.837),11.524.586.088,6099574793.0,,85836606132.0,-80411594837.0,11524586088.0
Thuế nhà thầu,Thuế phải nộp Nhà nước > Thuế nhà thầu,Thuế nhà thầu,855.912.097,-,4.765.690.195,(5.558.542.762),63.059.530,855912097.0,,4765690195.0,-5558542762.0,63059530.0
Thuế nhà đất,Thuế phải nộp Nhà nước > Thuế nhà đất,Thuế nhà đất,-,-,624.780.412,(624.780.412),-,,,624780412.0,-624780412.0,
Các loại thuế khác,Thuế phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,-,-,136.500.000,(136.500.000),-,,,136500000.0,-136500000.0,
,,,68.011.150.711,(42.794.748),782.092.022.947,(572.145.467.557),277.914.911.353,68011150711.0,-42794748.0,782092022947.0,-572145467557.0,277914911353.0
