row_label_raw,row_label_full,2018,Số dưđầu nămVND,Phát sinh trong năm > Số phải nộpVND,Phát sinh trong năm > Số đã nộpVND,Số ducuối nămVND,numeric__Số dưđầu nămVND,numeric__Phát sinh trong năm > Số phải nộpVND,numeric__Phát sinh trong năm > Số đã nộpVND,numeric__Số ducuối nămVND
Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,,,,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,42.794.748,42.794.748,,,42794748.0,42794748.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,,,,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,45.956.188.027,440.830.087.065,(431.931.364.831),54.854.910.261,45956188027.0,440830087065.0,-431931364831.0,54854910261.0
Thuế giá trị gia tăng,Thuế phải nộp Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.899.664.324,28.640.679.853,(25.339.590.617),6.200.753.560,2899664324.0,28640679853.0,-25339590617.0,6200753560.0
Thuế thu nhập cá nhân,Thuế phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.461.586.045,65.672.010.720,(66.034.021.972),6.099.574.793,6461586045.0,65672010720.0,-66034021972.0,6099574793.0
Thuế nhà thầu,Thuế phải nộp Nhà nước > Thuế nhà thầu,Thuế nhà thầu,228.463.655,4.188.876.713,(3.561.428.271),855.912.097,228463655.0,4188876713.0,-3561428271.0,855912097.0
Thuế nhà đất,Thuế phải nộp Nhà nước > Thuế nhà đất,Thuế nhà đất,-,469.970.586,(469.970.586),-,,469970586.0,-469970586.0,
Các loại thuế khác,Thuế phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,-,128.500.000,(128.500.000),-,,128500000.0,-128500000.0,
,,,55.545.902.051,539.930.124.937,(527.464.876.277),68.011.150.711,55545902051.0,539930124937.0,-527464876277.0,68011150711.0
