row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_5","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_6","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_6"
,,,VNDVND,USDVND,VàngVND,EURVND,Tiền tệ khácVND,TổngVND,,,,,,
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,546.986.138.910,93.780.369.099,1.601.977.500,33.584.736.130,4.305.905.863,680.259.127.502,546986138910.0,93780369099.0,1601977500.0,33584736130.0,4305905863.0,680259127502.0
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.148.495.695.389,126.873.102.779,-,-,-,1.275.368.798.168,1148495695389.0,126873102779.0,,,,1275368798168.0
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,7.107.399.987.178,4.324.513.756.989,-,9.816.397.857,2.005.916.457.355,13.447.646.599.379,7107399987178.0,4324513756989.0,,9816397857.0,2005916457355.0,13447646599379.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,3.014.985.277.771,(933.327.679.360),-,(39.792.750.000),(1.979.843.776.250),62.021.072.161,3014985277771.0,-933327679360.0,,-39792750000.0,-1979843776250.0,62021072161.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,51.545.521.199.998,4.770.830.313.940,-,-,-,56.316.351.513.938,51545521199998.0,4770830313940.0,,,,56316351513938.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,24.444.023.730.519,-,-,-,-,24.444.023.730.519,24444023730519.0,,,,,24444023730519.0
"Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",24.540.000.000,-,-,-,-,24.540.000.000,24540000000.0,,,,,24540000000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,529.287.598.940,-,-,-,-,529.287.598.940,529287598940.0,,,,,529287598940.0
Tài sản cố khác - gộp,Tài sản cố khác - gộp,Tài sản cố khác - gộp,3.496.228.209.016,291.413.425.079,-,12.839.419.683,20.187.762.649,3.820.668.816.427,3496228209016.0,291413425079.0,,12839419683.0,20187762649.0,3820668816427.0
Tổng tài sản (1),Tổng tài sản (1),Tổng tài sản (1),91.857.467.837.721,8.674.083.288.526,1.601.977.500,16.447.803.670,50.566.349.617,100.600.167.257.034,91857467837721.0,8674083288526.0,1601977500.0,16447803670.0,50566349617.0,100600167257034.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,1.469.369.844.175,-,-,-,-,1.469.369.844.175,1469369844175.0,,,,,1469369844175.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,11.636.012.077.277,5.094.085.444.157,-,7.392.067.043,18.490.387.665,16.755.979.976.142,11636012077277.0,5094085444157.0,,7392067043.0,18490387665.0,16755979976142.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,58.656.806.083.201,1.695.942.041.318,-,9.592.939.581,233.942.900,60.362.575.007.000,58656806083201.0,1695942041318.0,,9592939581.0,233942900.0,60362575007000.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",310.262.683.211,2.243.824.000.000,-,-,-,2.554.086.683.211,310262683211.0,2243824000000.0,,,,2554086683211.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,8.156.400.898.720,-,-,-,-,8.156.400.898.720,8156400898720.0,,,,,8156400898720.0
