row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
1. Doanh thu về bán hàng và cung cấp dịch vụ,1. Doanh thu về bán hàng và cung cấp dịch vụ,1. Doanh thu về bán hàng và cung cấp dịch vụ,01,22.1,13.902.292.927.348,4.776.154.699.090,1.0,221.0,13902292927348.0,4776154699090.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,22.1,93.004.251.434,22.295.059.603,2.0,221.0,93004251434.0,22295059603.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,22.1,13.809.288.675.914,4.753.859.639.487,10.0,221.0,13809288675914.0,4753859639487.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,23,7.323.403.182.026,5.538.012.050.716,11.0,23.0,7323403182026.0,5538012050716.0
5. Lợi nhuận (lỗ) gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận (lỗ) gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận (lỗ) gộp về bán hàng và cung cấp dịch vụ,20,,6.485.885.493.888,(784.152.411.229),20.0,,6485885493888.0,-784152411229.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,22.2,4.198.497.336.065,3.357.752.966.259,21.0,222.0,4198497336065.0,3357752966259.0
7. Chi phí tài chính- Trong đó: Chi phí lãi vay,7. Chi phí tài chính- Trong đó: Chi phí lãi vay,7. Chi phí tài chính- Trong đó: Chi phí lãi vay,22,24,89.962.600.00573.083.857.692,144.161.497.18888.792.729.468,22.0,24.0,8.996260000573084e+21,1.4416149718888792e+22
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,25,220.063.489.580,84.663.450.420,25.0,25.0,220063489580.0,84663450420.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,26,1.697.639.597.568,1.228.362.747.169,26.0,26.0,1697639597568.0,1228362747169.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,8.676.717.142.800,1.116.412.860.253,30.0,,8676717142800.0,1116412860253.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,12.723.690.387,8.727.559.766,31.0,,12723690387.0,8727559766.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,1.037.260.361,540.590.870,32.0,,1037260361.0,540590870.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,11.686.430.026,8.186.968.896,40.0,,11686430026.0,8186968896.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,8.688.403.572.826,1.124.599.829.149,50.0,,8688403572826.0,1124599829149.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,28.2,1.842.007.882.476,168.550.545.143,51.0,282.0,1842007882476.0,168550545143.0
16. (Thu nhập) chi phí thuế TNDN hoãn lại,16. (Thu nhập) chi phí thuế TNDN hoãn lại,16. (Thu nhập) chi phí thuế TNDN hoãn lại,52,28.3,(142.591.843.996),31.584.850.886,52.0,283.0,-142591843996.0,31584850886.0
17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,60,,6.988.987.534.346,924.464.433.120,60.0,,6988987534346.0,924464433120.0
Trong đó:Lợi nhuận của ACVLợi nhuận từ hoạt động khai thác tài sản kết cấu hạ tầng hàng không được Nhà nước giao quản lý,Trong đó:Lợi nhuận của ACVLợi nhuận từ hoạt động khai thác tài sản kết cấu hạ tầng hàng không được Nhà nước giao quản lý,Trong đó:Lợi nhuận của ACVLợi nhuận từ hoạt động khai thác tài sản kết cấu hạ tầng hàng không được Nhà nước giao quản lý,,,6.097.295.524.374891.692.009.972,614.467.399.813309.997.033.307,,,6.097295524374891e+24,6.1446739981331e+23
