row_label_raw,row_label_full,col_0,Số đầu nămVND,Số tăng trong nămVND,Số giảm trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số tăng trong nămVND,numeric__Số giảm trong nămVND,numeric__Số cuối nămVND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,1.842.007.882.476,357.569.967.980,1.484.437.914.496,,1842007882476.0,357569967980.0,1484437914496.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,450.000,521.522.813.297,482.456.859.125,39.066.404.172,450000.0,521522813297.0,482456859125.0,39066404172.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",2.107.273.788,93.573.180.894,93.389.300.555,2.291.154.127,2107273788.0,93573180894.0,93389300555.0,2291154127.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,55.939.934,103.883.481.010,98.505.151.548,5.434.269.396,55939934.0,103883481010.0,98505151548.0,5434269396.0
Thuế nhà thầu,Phải nộp > Thuế nhà thầu,Thuế nhà thầu,7.091.520.612,51.720.637.115,46.440.202.484,12.371.955.243,7091520612.0,51720637115.0,46440202484.0,12371955243.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,193.048.160,452.046.200,610.168.600,34.925.760,193048160.0,452046200.0,610168600.0,34925760.0
Thuế bảo vệ môi trường,Phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,83.376.958,1.605.008.523,1.537.758.263,150.627.218,83376958.0,1605008523.0,1537758263.0,150627218.0
Thuế môn bài,Phải nộp > Thuế môn bài,Thuế môn bài,-,25.000.000,25.000.000,-,,25000000.0,25000000.0,
Thuế xuất. nhập khẩu,Phải nộp > Thuế xuất. nhập khẩu,Thuế xuất. nhập khẩu,-,78.827.040,78.827.040,-,,78827040.0,78827040.0,
Các thuế khác,Phải nộp > Các thuế khác,Các thuế khác,37.073.513,960.423.871.187,960.459.684.415,1.260.285,37073513.0,960423871187.0,960459684415.0,1260285.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,9.568.682.965,3.575.292.747.742,2.041.072.920.010,1.543.788.510.697,9568682965.0,3575292747742.0,2041072920010.0,1543788510697.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,61.045.162.568,497.430.915,47.594.186.881,13.948.406.602,61045162568.0,497430915.0,47594186881.0,13948406602.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",3.038.135.032,1.355.718.165,1.534.362.176,2.859.491.021,3038135032.0,1355718165.0,1534362176.0,2859491021.0
Thuế nhà thầu,Phải thu > Thuế nhà thầu,Thuế nhà thầu,1.590.925,155.974,-,1.746.899,1590925.0,155974.0,,1746899.0
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,303.926.942,18.727.236,303.926.942,18.727.236,303926942.0,18727236.0,303926942.0,18727236.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,157.569.967.980,-,157.569.967.980,-,157569967980.0,,157569967980.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,221.958.783.447,1.872.032.290,207.002.443.979,16.828.371.758,221958783447.0,1872032290.0,207002443979.0,16828371758.0
