row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,26.079.683.863.963,14.372.384.071.215,2.871.681.502.815,112.324.249.632,43.436.073.687.625,26079683863963.0,14372384071215.0,2871681502815.0,112324249632.0,43436073687625.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,602.648.192,477.271.653.562,15.979.914.995,8.336.492.605,502.190.709.354,602648192.0,477271653562.0,15979914995.0,8336492605.0,502190709354.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.021.309.525.093,49.091.443.046,-,-,1.070.400.968.139,1021309525093.0,49091443046.0,,,1070400968139.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(971.257.759),-,-,(971.257.759),,-971257759.0,,,-971257759.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(170.693.133),(36.098.458.575),(15.535.552.953),(365.000.277),(52.169.704.938),-170693133.0,-36098458575.0,-15535552953.0,-365000277.0,-52169704938.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,27.101.425.344.115,14.861.677.451.489,2.872.125.864.857,120.295.741.960,44.955.524.402.421,27101425344115.0,14861677451489.0,2872125864857.0,120295741960.0,44955524402421.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,16.170.407.283.899,12.574.136.893.244,2.129.377.380.345,93.769.772.776,30.967.691.330.264,16170407283899.0,12574136893244.0,2129377380345.0,93769772776.0,30967691330264.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,1.417.183.612.113,667.188.187.967,237.862.604.020,6.342.316.756,2.328.576.720.856,1417183612113.0,667188187967.0,237862604020.0,6342316756.0,2328576720856.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,(628.950.517),-,-,(628.950.517),,-628950517.0,,,-628950517.0
Chuyển nhóm tài sản,Giá trị hao mòn lũy kế: > Chuyển nhóm tài sản,Chuyển nhóm tài sản,157.972.458,(157.972.458),-,-,-,157972458.0,-157972458.0,,,
