row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệsở hữu(%),Số cuối năm > Giá trị(VND),Số đầu năm > Tỷ lệsở hữu(%),Số đầu năm > Giá trị(VND),numeric__Số cuối năm > Tỷ lệsở hữu(%),numeric__Số cuối năm > Giá trị(VND),numeric__Số đầu năm > Tỷ lệsở hữu(%),numeric__Số đầu năm > Giá trị(VND)
Ủy ban Quản lývốn Nhà nước tạiDoanh nghiệp,Ủy ban Quản lývốn Nhà nước tạiDoanh nghiệp,Ủy ban Quản lývốn Nhà nước tạiDoanh nghiệp,"95,396",20.769.430.110.000,"95,396",20.769.430.110.000,95.396,20769430110000.0,95.396,20769430110000.0
Cổ đông khác,Cổ đông khác,Cổ đông khác,"4,594",1.000.074.250.000,"4,594",1.000.074.250.000,4.594,1000074250000.0,4.594,1000074250000.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,"0,010",2.228.000.000,"0,010",2.228.000.000,0.01,2228000000.0,0.01,2228000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,100,21.771.732.360.000,100,21.771.732.360.000,100.0,21771732360000.0,100.0,21771732360000.0
