row_label_raw,row_label_full,"Đầu tư vào công ty con(Thuyết minh số 15.1) > Đầu tư vào công ty liên doanh, liên kết(Thuyết minh số 15.2) > Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 15.3)",Số cuối năm VND > 60.000.000.000 > 2.139.744.434.914 > 234.800.000.000,Số đầu năm VND > 60.000.000.000 > 2.139.744.434.914 > 234.800.000.000,numeric__Số cuối năm VND > 60.000.000.000 > 2.139.744.434.914 > 234.800.000.000,numeric__Số đầu năm VND > 60.000.000.000 > 2.139.744.434.914 > 234.800.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.434.544.434.914,2.434.544.434.914,2434544434914.0,2434544434914.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(69.011.115.024),(70.670.458.763),-69011115024.0,-70670458763.0
GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,2.365.533.319.890,2.363.873.976.151,2365533319890.0,2363873976151.0
