row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.020.176.263.972,1.018.464.129.581,1020176263972.0,1018464129581.0
Lãi tiền gửi có kỳ hạn,Lãi tiền gửi có kỳ hạn,Lãi tiền gửi có kỳ hạn,841.419.134.247,835.606.182.194,841419134247.0,835606182194.0
Tài sản khí tượng bàn giao cho,Tài sản khí tượng bàn giao cho,Tài sản khí tượng bàn giao cho,52.411.366.089,55.749.867.742,52411366089.0,55749867742.0
Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT,Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT,Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT,,,,
Phải thu về cổ phần hóa,Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT > Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,68.979.496.633,68.979.496.633,68979496633.0,68979496633.0
Cổ tức lợi nhuận được chia,Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT > Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,21.250.000.000,11.250.000.000,21250000000.0,11250000000.0
Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT > Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,-,8.671.912.247,,8671912247.0
Tạm ứng,Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT > Tạm ứng,Tạm ứng,10.480.641.029,5.338.891.466,10480641029.0,5338891466.0
Thuế GTGT đầu vào chưa kê khai khấu trừ,Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT > Thuế GTGT đầu vào chưa kê khai khấu trừ,Thuế GTGT đầu vào chưa kê khai khấu trừ,14.037.913.837,5.975.608.558,14037913837.0,5975608558.0
Các khoản khác,Tổng Công ty Quản lý Bay Việt Nam theo Quyết định số 3976/QĐ-BGTVT > Các khoản khác,Các khoản khác,11.597.712.137,26.892.170.741,11597712137.0,26892170741.0
