row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH,,,,,,,,
Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,01,,8.688.403.572.826,1.124.599.829.149,1.0,,8688403572826.0,1124599829149.0
Khấu hao và hao mòn,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Khấu hao và hao mòn,Khấu hao và hao mòn,02,27,2.329.017.203.768,2.520.481.582.406,2.0,27.0,2329017203768.0,2520481582406.0
Các khoản dự phòng,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,753.683.879.031,486.123.209.804,3.0,,753683879031.0,486123209804.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,(2.335.821.186.565),(1.411.640.140.966),4.0,,-2335821186565.0,-1411640140966.0
Lãi từ hoạt động đầu tư,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(1.806.360.701.565),(1.939.685.615.968),5.0,,-1806360701565.0,-1939685615968.0
Chi phí lãi vay,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,24,73.083.857.692,88.792.729.468,6.0,24.0,73083857692.0,88792729468.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,7.702.006.625.187,868.671.593.893,8.0,,7702006625187.0,868671593893.0
Tăng các khoản phải thu,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Tăng các khoản phải thu,Tăng các khoản phải thu,09,,(3.897.014.810.793),(1.085.056.625.739),9.0,,-3897014810793.0,-1085056625739.0
(Tăng) giảm hàng tồn kho,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > (Tăng) giảm hàng tồn kho,(Tăng) giảm hàng tồn kho,10,,(184.470.228.384),49.583.245.162,10.0,,-184470228384.0,49583245162.0
Tăng các khoản phải trả,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Tăng các khoản phải trả,Tăng các khoản phải trả,11,,108.915.265.353,462.032.414.270,11.0,,108915265353.0,462032414270.0
Giảm chi phí trả trước,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Giảm chi phí trả trước,Giảm chi phí trả trước,12,,57.442.821.132,98.615.059.202,12.0,,57442821132.0,98615059202.0
Tiền lãi vay đã trả,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(76.892.857.692),(92.074.729.468),14.0,,-76892857692.0,-92074729468.0
Thuế thu nhập doanh nghiệp đã nộp,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(200.000.000.000),(410.000.000.000),15.0,,-200000000000.0,-410000000000.0
Tiền chi khác cho hoạt động kinh doanh,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(257.785.293.992),(583.553.979.522),17.0,,-257785293992.0,-583553979522.0
Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động kinh doanh,I. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động kinh doanh,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động kinh doanh,20,,3.252.201.520.811,(691.783.022.202),20.0,,3252201520811.0,-691783022202.0
II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ,II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ,II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ,,,,,,,,
Tiền chi để mua sắm và xây dựng tài sản cố định,II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ > Tiền chi để mua sắm và xây dựng tài sản cố định,Tiền chi để mua sắm và xây dựng tài sản cố định,21,,(4.982.359.923.366),(1.651.097.817.153),21.0,,-4982359923366.0,-1651097817153.0
Tiền thu do thanh lý TSCĐ,II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ > Tiền thu do thanh lý TSCĐ,Tiền thu do thanh lý TSCĐ,22,,1.348.865.072,746.050.514,22.0,,1348865072.0,746050514.0
Tiền chi gửi ngân hàng kỳ hạn,II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ > Tiền chi gửi ngân hàng kỳ hạn,Tiền chi gửi ngân hàng kỳ hạn,23,,(2.000.000.000.000),(1.245.000.000.000),23.0,,-2000000000000.0,-1245000000000.0
Thu hồi tiền gửi kỳ hạn ngân hàng,II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ > Thu hồi tiền gửi kỳ hạn ngân hàng,Thu hồi tiền gửi kỳ hạn ngân hàng,24,,4.230.000.000.000,1.708.000.000.000,24.0,,4230000000000.0,1708000000000.0
"Tiền thu lãi tiền gửi, cổ tức được chia","II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ > Tiền thu lãi tiền gửi, cổ tức được chia","Tiền thu lãi tiền gửi, cổ tức được chia",27,,1.789.169.301.440,2.203.271.109.287,27.0,,1789169301440.0,2203271109287.0
Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động đầu tư,II. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG ĐẦU TÙ > Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động đầu tư,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động đầu tư,30,,(961.841.756.854),1.015.919.342.648,30.0,,-961841756854.0,1015919342648.0
III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,,
Tiền trả nợ gốc vay,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,20,(362.423.564.971),(247.880.046.877),34.0,20.0,-362423564971.0,-247880046877.0
Cổ tức đã trả cho chủ sở hữu,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức đã trả cho chủ sở hữu,Cổ tức đã trả cho chủ sở hữu,36,,(24.510.000),(3.192.000),36.0,,-24510000.0,-3192000.0
Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,III. LUÙ CHUYÊN TIÊN TÙ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,40,,(362.448.074.971),(247.883.238.877),40.0,,-362448074971.0,-247883238877.0
