row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận chuyển VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận chuyển VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.386.873.743.866,10.983.464.851.528,218.222.665.039,551.907.542.204,1.057.750.248,22.141.526.552.885,10386873743866.0,10983464851528.0,218222665039.0,551907542204.0,1057750248.0,22141526552885.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,12.768.964.819,1.401.960.798,906.617.030,3.415.315.555,-,18.492.858.202,12768964819.0,1401960798.0,906617030.0,3415315555.0,,18492858202.0
Tiếp nhận nhà cửa bàn giao từ nhà thầu xây dựng (Thuyết minh 30),Nguyên giá > Tiếp nhận nhà cửa bàn giao từ nhà thầu xây dựng (Thuyết minh 30),Tiếp nhận nhà cửa bàn giao từ nhà thầu xây dựng (Thuyết minh 30),6.387.537.678,-,-,-,-,6.387.537.678,6387537678.0,,,,,6387537678.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,1.750.291.672,-,-,1.750.291.672,,,1750291672.0,,,1750291672.0
Điều chỉnh giảm theo giá trị quyết toán,Nguyên giá > Điều chỉnh giảm theo giá trị quyết toán,Điều chỉnh giảm theo giá trị quyết toán,(63.797.705.793),(44.814.879.580),(1.463.814.065),-,-,(110.076.399.438),-63797705793.0,-44814879580.0,-1463814065.0,,,-110076399438.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,-,-,(514.480.644),-,(514.480.644),,,,-514480644.0,,-514480644.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.342.232.540.570,10.940.051.932.746,219.415.759.676,554.808.377.115,1.057.750.248,22.057.566.360.355,10342232540570.0,10940051932746.0,219415759676.0,554808377115.0,1057750248.0,22057566360355.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.397.736.734.870,4.239.712.085.219,128.654.429.469,235.233.764.578,330.840.757,8.001.667.854.893,3397736734870.0,4239712085219.0,128654429469.0,235233764578.0,330840757.0,8001667854893.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,735.950.216.930,1.069.496.268.134,23.040.853.467,43.360.089.664,142.064.310,1.871.989.492.505,735950216930.0,1069496268134.0,23040853467.0,43360089664.0,142064310.0,1871989492505.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,-,-,(514.480.644),-,(514.480.644),,,,-514480644.0,,-514480644.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.133.686.951.800,5.309.208.353.353,151.695.282.936,278.079.373.598,472.905.067,9.873.142.866.754,4133686951800.0,5309208353353.0,151695282936.0,278079373598.0,472905067.0,9873142866754.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.989.137.008.996,6.743.752.766.309,89.568.235.570,316.673.777.626,726.909.491,14.139.858.697.992,6989137008996.0,6743752766309.0,89568235570.0,316673777626.0,726909491.0,14139858697992.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.208.545.588.770,5.630.843.579.393,67.720.476.740,276.729.003.517,584.845.181,12.184.423.493.601,6208545588770.0,5630843579393.0,67720476740.0,276729003517.0,584845181.0,12184423493601.0
