row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2017VND,1/1/2017VND,,
Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam,,
Ban Quản lý Dự án Nhiệt điện 1,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam > Ban Quản lý Dự án Nhiệt điện 1,Ban Quản lý Dự án Nhiệt điện 1,1.036.005.954,1.038.733.359,1036005954.0,1038733359.0
Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam > Công ty TNHH MTV Thí nghiệm điện Miền Bắc,Công ty TNHH MTV Thí nghiệm điện Miền Bắc,691.840.611,1.211.719.300,691840611.0,1211719300.0
Công ty Cổ phần Thủy điện A Vương,Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam > Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,470.614.975,460.710.930,470614975.0,460710930.0
"Tập đoàn Điện lực Việt Nam, công ty mẹ cấp cao nhất","Bên liên quan – thuộc Tập đoàn Điện lực Việt Nam > Tập đoàn Điện lực Việt Nam, công ty mẹ cấp cao nhất","Tập đoàn Điện lực Việt Nam, công ty mẹ cấp cao nhất",-,1.905.615.175,,1905615175.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Các bên khác > Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than Khoáng sản Việt Nam,212.094.420.651,314.030.413.181,212094420651.0,314030413181.0
Tổng Công ty Đông Bắc,Các bên khác > Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,116.562.754.672,121.274.253.628,116562754672.0,121274253628.0
Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Các bên khác > Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,Công ty Cổ phần Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,36.511.438.406,45.484.355.346,36511438406.0,45484355346.0
Nhà thầu Marubeni,Các bên khác > Nhà thầu Marubeni,Nhà thầu Marubeni,15.040.375.155,15.451.814.828,15040375155.0,15451814828.0
Công ty CP Vật tư & Thiết bị Công nghiệp,Các bên khác > Công ty CP Vật tư & Thiết bị Công nghiệp,Công ty CP Vật tư & Thiết bị Công nghiệp,8.345.172.338,11.413.464.171,8345172338.0,11413464171.0
Viện nghiên cứu Cơ khí,Các bên khác > Viện nghiên cứu Cơ khí,Viện nghiên cứu Cơ khí,9.756.175.420,11.834.393.382,9756175420.0,11834393382.0
Công ty Cổ phần Việt Long,Các bên khác > Công ty Cổ phần Việt Long,Công ty Cổ phần Việt Long,3.833.712.242,10.850.238.503,3833712242.0,10850238503.0
Nhà thầu Dongfang,Các bên khác > Nhà thầu Dongfang,Nhà thầu Dongfang,-,5.226.339.540,,5226339540.0
Các nhà thầu khác,Các bên khác > Các nhà thầu khác,Các nhà thầu khác,-,5.486.102.707,,5486102707.0
Các nhà cung cấp khác,Các bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,48.327.679.512,68.901.072.628,48327679512.0,68901072628.0
,,,452.670.189.936,614.569.226.678,452670189936.0,614569226678.0
