row_label_raw,row_label_full,col_0,Chi phí chuẩn bị sản xuất VND,Công cụ và dụng cụ VND,"Chi phí đền bù, giải phóng mặt bằng VND",Tổng VND,numeric__Chi phí chuẩn bị sản xuất VND,numeric__Công cụ và dụng cụ VND,"numeric__Chi phí đền bù, giải phóng mặt bằng VND",numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,160.685.179.555,5.381.032.021,165.762.093.707,331.828.305.283,160685179555.0,5381032021.0,165762093707.0,331828305283.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,7.575.053.465,-,7.575.053.465,,7575053465.0,,7575053465.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(58.430.974.380),(11.021.050.961),(8.125.427.184),(77.577.452.525),-58430974380.0,-11021050961.0,-8125427184.0,-77577452525.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,102.254.205.175,1.935.034.525,157.636.666.523,261.825.906.223,102254205175.0,1935034525.0,157636666523.0,261825906223.0
