row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Ngàn VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Ngàn VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6)
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Bán hàng hóa,320.117.214,251.301.873,,,320117214.0,251301873.0
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Bán hàng hóa,143.484.740,14.272.963,,,143484740.0,14272963.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty liên quan,Chuyển nhượng dự án,90.147.433,-,,,90147433.0,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty liên quan,Bán hàng hóa,23.731.185,-,,,23731185.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Bán hàng hóa,1.117.123,-,,,1117123.0,
Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty liên quan,Bán hàng hóa,413.196,-,,,413196.0,
Công ty Thủy điện Hoàng Anh Attapeu,Công ty Thủy điện Hoàng Anh Attapeu,Công ty Thủy điện Hoàng Anh Attapeu,Công ty liên quan,Bán hàng hóa,25.005,19.661,,,25005.0,19661.0
Công ty TNHH ĐT&PT nhà Hoàng Nguyên,Công ty TNHH ĐT&PT nhà Hoàng Nguyên,Công ty TNHH ĐT&PT nhà Hoàng Nguyên,Công ty liên quan,Bán hàng hóa,153.649,-,,,153649.0,
Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai,Công ty liên quan,Bán tài sản,-,3.870.645,,,,3870645.0
Khác,Khác,Khác,Bên liên quan,Bán hàng hóa,101 768,72.339,,,,72339.0
,,,,,579.291.313,269.537.481,,,579291313.0,269537481.0
