row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Láo > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Láo > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015
Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.109.732.826,2.316.020.039,304.927.568,-,4.730.680.433,2109732826.0,2316020039.0,304927568.0,,4730680433.0
Chi phí hình thành tải sản cố định hữu hình,Chi phí hình thành tải sản cố định hữu hình,Chi phí hình thành tải sản cố định hữu hình,715.848.330,2.483.005.561,589.213.313,-,3.788.067.204,715848330.0,2483005561.0,589213313.0,,3788067204.0
Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,3.944.178.249,14.141.251.807,7.406.784.670,-,25.492.214.726,3944178249.0,14141251807.0,7406784670.0,,25492214726.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,331.961.020,,,,,331961020.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,271.950.970,,,,,271950970.0
Tải sản không phân bổ,Các thông tin bộ phận khác > Tải sản không phân bổ,Tải sản không phân bổ,,,,,639.503.891,,,,,639503891.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,26.735.630.607,,,,,26735630607.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,,,,,
Doanh thu từ khách hàng bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.222.732.425,2.472.866.133,64.613.336,15.756.190,4.775.968.084,2222732425.0,2472866133.0,64613336.0,15756190.0,4775968084.0
Chi phí hình thành tải sản cố định hữu hình,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Chi phí hình thành tải sản cố định hữu hình,Chi phí hình thành tải sản cố định hữu hình,46.169.172,1.014.048.859,498.371.847,-,1.558.589.878,46169172.0,1014048859.0,498371847.0,,1558589878.0
Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,8.905.872.681,13.731.123.032,8.653.917.774,-,31.290.913.487,8905872681.0,13731123032.0,8653917774.0,,31290913487.0
Tiền và các khoản tương đương tiền,Các thông tin bộ phận khác > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,,,,,308.340.423,,,,,308340423.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,896.161.285,,,,,896161285.0
Tải sản không phân bổ,Các thông tin bộ phận khác > Tải sản không phân bổ,Tải sản không phân bổ,,,,,2.972.837.854,,,,,2972837854.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,35.468.253.049,,,,,35468253049.0
