row_label_raw,row_label_full,col_0,Trống cây,Chăn nuôi,Thương mại và dịch vụ,Khác,Loại trừ,Ngân VND Tổng cộng,numeric__Trống cây,numeric__Chăn nuôi,numeric__Thương mại và dịch vụ,numeric__Khác,numeric__Loại trừ,numeric__Ngân VND Tổng cộng
Chi phí tài chính,"Lợi nhuận trước thuế, doanh thu > Chi phí tài chính",Chi phí tài chính,,,,,,(779.118.866),,,,,,-779118866.0
Chia lợi nhuận trong công ty liên kết,"Lợi nhuận trước thuế, doanh thu > Chia lợi nhuận trong công ty liên kết",Chia lợi nhuận trong công ty liên kết,,,,,,15.581.670,,,,,,15581670.0
Lợi nhuận trước thuế,"Lợi nhuận trước thuế, doanh thu > Lợi nhuận trước thuế",Lợi nhuận trước thuế,,,,,,(977.530.517),,,,,,-977530517.0
Thuế TNDN hiện hành,"Lợi nhuận trước thuế, doanh thu > Thuế TNDN hiện hành",Thuế TNDN hiện hành,,,,,,(2.769.781),,,,,,-2769781.0
Chi phí thuế thu nhập hoãn lại,"Lợi nhuận trước thuế, doanh thu > Chi phí thuế thu nhập hoãn lại",Chi phí thuế thu nhập hoãn lại,,,,,,(39.808.019),,,,,,-39808019.0
Lợi nhuận thuần trong năm,"Lợi nhuận trước thuế, doanh thu > Lợi nhuận thuần trong năm",Lợi nhuận thuần trong năm,,,,,,(1.020.108.317),,,,,,-1020108317.0
Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,25.978.226.272,2.551.785.637,1.234.685.249,1.526.216.329,-,31.290.913.487,25978226272.0,2551785637.0,1234685249.0,1526216329.0,,31290913487.0
Tiền và các khoản tương đương tiền,Tài sản và nợ phải trả > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,,,,,,308.340.423,,,,,,308340423.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,896.161.285,,,,,,896161285.0
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,2.972.837.854,,,,,,2972837854.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,,35.468.253.049,,,,,,35468253049.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(13.139.621.660),(2.545.288.799),(10.239.876.051),(557.842.012),-,(26.482.628.522),-13139621660.0,-2545288799.0,-10239876051.0,-557842012.0,,-26482628522.0
Nợ phải trả không phân bổ,Tài sản và nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,1.498.365.619,,,,,,1498365619.0
Tổng nợ phäl trả,Tài sản và nợ phải trả > Tổng nợ phäl trả,Tổng nợ phäl trả,,,,,,(24.984.262.903),,,,,,-24984262903.0
