row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18),Môi quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),Ngân VND > Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Môi quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Ngân VND > Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18)
Công ty Cổ phầnHoàng Anh Gia Lai,Công ty Cổ phầnHoàng Anh Gia Lai,Công ty Cổ phầnHoàng Anh Gia Lai,Công ty mẹ,Mua vật tưMua các khoảnđầu tưMua tài sản cố địnhKhác,(294.126.649)(12.828.645)(6.718.545)(24.707),(149.236.381)-(259.900.187)(22.180.171),,,,
Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công tyliên kết,Mua hàng hóavà dịch vụMua tài sảncó định,(38.299.440)(19.290.278),-(6.945.437),,,,
Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty Cổ phầnChăn nuôi Gia Lai > Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công tyliên quan,Mua hàng hóavá dịch vụ,(3.195.941),-,,,-3195941.0,
Công ty Cổ phầnKhoáng sản Hoàng AnhGia Lai,Công ty Cổ phầnChăn nuôi Gia Lai > Công ty Cổ phầnKhoáng sản Hoàng AnhGia Lai,Công ty Cổ phầnKhoáng sản Hoàng AnhGia Lai,Công tyliên quan,Mua nguyênvật liệu,(1.319.002),(2.677.446),,,-1319002.0,-2677446.0
Công ty Cổ phần Bệnhviện Hoàng Anh Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai > Công ty Cổ phần Bệnhviện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnhviện Hoàng Anh Gia Lai,Công tyliên quan,Dịch vụ khámchữa bệnh,(179.022),(254.786),,,-179022.0,-254786.0
Công ty Cổ phần Xây dựng Cầu đườngHoàng Anh Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai > Công ty Cổ phần Xây dựng Cầu đườngHoàng Anh Gia Lai,Công ty Cổ phần Xây dựng Cầu đườngHoàng Anh Gia Lai,Công tyliên quan,Thi côngxây dựng,-,(9.660.688),,,,-9660688.0
Khác,Công ty Cổ phầnChăn nuôi Gia Lai > Khác,Khác,Bènliên quan,Mua nguyênvật liệu,(1.443.770),(348.799),,,-1443770.0,-348799.0
,,,,,(377 A25.999),(451.203.895),,,,-451203895.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19),,,,
Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công tyliên quan,Mua hàng hóa,(24.395.000),-,,,-24395000.0,
Công ty Cổ phầnHoàng Anh Gia Lai,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty Cổ phầnHoàng Anh Gia Lai,Công ty Cổ phầnHoàng Anh Gia Lai,Công tyliên quan,Mua hàng hóa,(21.993.920),(101.375.786),,,-21993920.0,-101375786.0
Công ty Cổ phần GỗHoàng Anh Gia Lai,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty Cổ phần GỗHoàng Anh Gia Lai,Công tyliên quan,Mua hàng hóa,(20.904),(716.520),,,-20904.0,-716520.0
Công ty TNHHHoàng Thơ,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19) > Công ty TNHHHoàng Thơ,Công ty TNHHHoàng Thơ,Công tyliên quan,Mua hàng hóa,(23.560),-,,,-23560.0,
,,,,,(46.433.384),(102.092.306),,,-46433384.0,-102092306.0
