row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,"Phương tiễn vận tải, truyền dẫn",Thiết bị văn phòng,Vật nuôi và cây trồng lâu năm,Tài sản khác,Ngân VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,"numeric__Phương tiễn vận tải, truyền dẫn",numeric__Thiết bị văn phòng,numeric__Vật nuôi và cây trồng lâu năm,numeric__Tài sản khác,numeric__Ngân VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,1.751.998.830,1.550.006.980,1.125.435.420,1.128.933,1.800.069.049,17.618.136,6.246.257.348,1751998830.0,1550006980.0,1125435420.0,1128933.0,1800069049.0,17618136.0,6246257348.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,196.516.888,347.910.763,695.961.341,-,778.706.242,864.581,2.019.959.815,196516888.0,347910763.0,695961341.0,,778706242.0,864581.0,2019959815.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,26.807.321,31.003.209,26.279.246,167.081,58.745.617,1.155.000,144.157.474,26807321.0,31003209.0,26279246.0,167081.0,58745617.0,1155000.0,144157474.0
Tăng từ mua công ty con,Nguyên giá > Tăng từ mua công ty con,Tăng từ mua công ty con,25.988.803,2.021.522,56.974.590,74.570,71.217.751,-,156.277.236,25988803.0,2021522.0,56974590.0,74570.0,71217751.0,,156277236.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(7.840.564),(8.661.355),(22.023.202),(55.150),(299.350.587),-,(337.930.858),-7840564.0,-8661355.0,-22023202.0,-55150.0,-299350587.0,,-337930858.0
Chênh lệch tỷ giả,Nguyên giá > Chênh lệch tỷ giả,Chênh lệch tỷ giả,(2.658.017),6.232.270,(5.840.849),(1.863),(17.329.892),(61.893),(19.660.244),-2658017.0,6232270.0,-5840849.0,-1863.0,-17329892.0,-61893.0,-19660244.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,1.990.813.261,1.928.513.389,1.876.786.546,1.313.571,2.392.058.180,19.575.624,8.209.060.771,1990813261.0,1928513389.0,1876786546.0,1313571.0,2392058180.0,19575624.0,8209060771.0
Trong đó: Đã khấu hao hết,Nguyên giá > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,2.847.477,8.038.454,15.274.895,681.749,-,1.264.222,28.106.797,2847477.0,8038454.0,15274895.0,681749.0,,1264222.0,28106797.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,182.587.724,264.276.795,154.622.415,932.663,85.387.327,4.974.592,692.781.516,182587724.0,264276795.0,154622415.0,932663.0,85387327.0,4974592.0,692781516.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,95.339.793,108.042.404,117.686.888,123.914,147.412.478,3.745.457,472.350.934,95339793.0,108042404.0,117686888.0,123914.0,147412478.0,3745457.0,472350934.0
Tăng từ mua công ty con,Khấu hao lũy kế > Tăng từ mua công ty con,Tăng từ mua công ty con,9.018.725,964.918,11.722.114,74.570,4.515.050,-,26.295.377,9018725.0,964918.0,11722114.0,74570.0,4515050.0,,26295377.0
Thanh lý trong năm,Khấu hao lũy kế > Thanh lý trong năm,Thanh lý trong năm,(181.731),(504.453),(3.512.178),(55.150),(12.047.639),-,(16.301.151),-181731.0,-504453.0,-3512178.0,-55150.0,-12047639.0,,-16301151.0
Chênh lệch tỷ giả,Khấu hao lũy kế > Chênh lệch tỷ giả,Chênh lệch tỷ giả,(734.118),206.252,(673.932),(2.197),(1.003.726),(32.501),(2.240.222),-734118.0,206252.0,-673932.0,-2197.0,-1003726.0,-32501.0,-2240222.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,286.030.393,372.985.916,279.845.307,1.073.800,224.263.490,8.687.548,1.172.886.454,286030393.0,372985916.0,279845307.0,1073800.0,224263490.0,8687548.0,1172886454.0
