row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHÍ TIÊU > I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH (Lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:Khấu hao và hao mòn (bao gồm phân bổ lợi thế thương mại)Các khoản dự phòngLỗ chênh lệch tỷ giá hồi đoái do đánh giả lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 11, 12, 1730",Năm nay > (977.530.517)653.452.21230.315.50941.043.322(346.011.414)701.146.747,Năm trước > 715.053.486333.420.0435.655.836328.995(52.746.866)364.676.504,numeric__CHÍ TIÊU > I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH (Lỗ) lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:Khấu hao và hao mòn (bao gồm phân bổ lợi thế thương mại)Các khoản dự phòngLỗ chênh lệch tỷ giá hồi đoái do đánh giả lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 11, 12, 1730",numeric__Năm nay > (977.530.517)653.452.21230.315.50941.043.322(346.011.414)701.146.747,numeric__Năm trước > 715.053.486333.420.0435.655.836328.995(52.746.866)364.676.504
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm (tăng) hàng tồn kho(Giảm) tăng các khoản phải trả(Tăng) giảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt độngkinh doanh,33.1,102.415.859875.215.570938.230.687(691.305.524)(197.173.232)(341.716.133)(239.528)-,1.366.387.998344.086.017(2.180.235.216)2.159.563.56366.793.246(371.302.612)(6.794.852)(265.314),,331.0,,
09,09,09,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm (tăng) hàng tồn kho(Giảm) tăng các khoản phải trả(Tăng) giảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt độngkinh doanh,33.1,102.415.859875.215.570938.230.687(691.305.524)(197.173.232)(341.716.133)(239.528)-,1.366.387.998344.086.017(2.180.235.216)2.159.563.56366.793.246(371.302.612)(6.794.852)(265.314),,331.0,,
10,10,10,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm (tăng) hàng tồn kho(Giảm) tăng các khoản phải trả(Tăng) giảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt độngkinh doanh,33.1,102.415.859875.215.570938.230.687(691.305.524)(197.173.232)(341.716.133)(239.528)-,1.366.387.998344.086.017(2.180.235.216)2.159.563.56366.793.246(371.302.612)(6.794.852)(265.314),,331.0,,
11,11,11,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm (tăng) hàng tồn kho(Giảm) tăng các khoản phải trả(Tăng) giảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt độngkinh doanh,33.1,102.415.859875.215.570938.230.687(691.305.524)(197.173.232)(341.716.133)(239.528)-,1.366.387.998344.086.017(2.180.235.216)2.159.563.56366.793.246(371.302.612)(6.794.852)(265.314),,331.0,,
12,12,12,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm (tăng) hàng tồn kho(Giảm) tăng các khoản phải trả(Tăng) giảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt độngkinh doanh,33.1,102.415.859875.215.570938.230.687(691.305.524)(197.173.232)(341.716.133)(239.528)-,1.366.387.998344.086.017(2.180.235.216)2.159.563.56366.793.246(371.302.612)(6.794.852)(265.314),,331.0,,
14,14,14,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm (tăng) hàng tồn kho(Giảm) tăng các khoản phải trả(Tăng) giảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt độngkinh doanh,33.1,102.415.859875.215.570938.230.687(691.305.524)(197.173.232)(341.716.133)(239.528)-,1.366.387.998344.086.017(2.180.235.216)2.159.563.56366.793.246(371.302.612)(6.794.852)(265.314),,331.0,,
15,15,15,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm (tăng) hàng tồn kho(Giảm) tăng các khoản phải trả(Tăng) giảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt độngkinh doanh,33.1,102.415.859875.215.570938.230.687(691.305.524)(197.173.232)(341.716.133)(239.528)-,1.366.387.998344.086.017(2.180.235.216)2.159.563.56366.793.246(371.302.612)(6.794.852)(265.314),,331.0,,
17,17,17,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm (tăng) hàng tồn kho(Giảm) tăng các khoản phải trả(Tăng) giảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt độngkinh doanh,33.1,102.415.859875.215.570938.230.687(691.305.524)(197.173.232)(341.716.133)(239.528)-,1.366.387.998344.086.017(2.180.235.216)2.159.563.56366.793.246(371.302.612)(6.794.852)(265.314),,331.0,,
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,685.427.699,1.378.232.830,,,685427699.0,1378232830.0
,,,II. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
