row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu (%),numeric__Tên công ty con_1,numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu (%)
(1),(1),(1),Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,"Sekong, Lào",Đang hoạt động,"97,77",,,,97.77
(2),(2),(2),Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,"Gia Lai, Việt Nam",Đang hoạt động,"97,77",,,,97.77
(3),(3),(3),Công ty Cổ phần Hoàng Anh Đắk Lắk,"Đắk Lắk, Việt Nam",Đang hoạt động,"99,53",,,,99.53
(4),(4),(4),Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Altapeu,"Attapeu, Lào",Đang hoạt động,"100,00",,,,100.0
(5),(5),(5),Công ty TNHH Hoàng Anh Rattanakiri,"Rattanakiri, Campuchia",Trước hoạt động,"100,00",,,,100.0
(6),(6),(6),Công ty Cổ phần Cao su Ban Mê,"Đắk Lắk, Việt Nam",Trước hoạt động,"99,45",,,,99.45
(7),(7),(7),Công ty TNHH Heng Brothers,"Rattanakiri, Campuchia",Trước hoạt động,"100,00",,,,100.0
(8),(8),(8),Công ty TNHH Hoàng Anh Oyadav,"Rattanakiri, Campuchia",Trước hoạt động,"100,00",,,,100.0
(9),(9),(9),Công ty TNHH CRD,"Rattanakiri, Campuchia",Trước hoạt động,"100,00",,,,100.0
(10),(10),(10),Công ty Cổ phần Mia đường Hoàng Anh Gia Lai,"Gia Lai, Việt Nam",Chờ thanh lý,"99,99",,,,99.99
(11),(11),(11),Công ty TNHH Mia đường Hoàng Anh Attapeu,"Attapeu, Lào",Chờ thanh lý,"99,99",,,,99.99
(12),(12),(12),Công ty TNHH MTV Hoàng Anh Andong Meas,"Rattanakiri, Campuchia",Đang hoạt động,"97,77",,,,97.77
(13),(13),(13),Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,"Gia Lai, Việt Nam",Đang hoạt động,"100,00",,,,100.0
(14),(14),(14),Công ty Cổ phần Bó sữa Tây Nguyên,"Gia Lai, Việt Nam",Đang hoạt động,"99,00",,,,99.0
(15),(15),(15),Công ty Cổ phần Đông Pênh,"Gia Lai, Việt Nam",Đang hoạt động,"99,90",,,,99.9
