row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Ngân VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Ngân VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Công ty Cổ phầnHoàng Anh Gia Lai,Công ty Cổ phầnHoàng Anh Gia Lai,Công ty Cổ phầnHoàng Anh Gia Lai,Công ty mẹ,Cho mượn tạmKhác,252.120.8655.092.869,6.710.392-,,,2521208655092869.0,
Công ty Cổ phần Đầu tưBắt động sản An Phú,Công ty Cổ phần Đầu tưBắt động sản An Phú,Công ty Cổ phần Đầu tưBắt động sản An Phú,Công ty liên quan,Lãi từ cho vay,84.116.944,45.321.667,,,84116944.0,45321667.0
Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty liên kết,Lãi từ cho vayChi trả hộ,20.317.6494.418.868,-,,,203176494418868.0,
Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty liên quan,Cho mượnvật tư và tài sản,132.565.743,-,,,132565743.0,
Bà Nguyễn Thị Kim Loan,Bà Nguyễn Thị Kim Loan,Bà Nguyễn Thị Kim Loan,Bên liên quan,Lãi từ cho vay,3.100.087,-,,,3100087.0,
Bà Nguyễn Thị Nga,Bà Nguyễn Thị Nga,Bà Nguyễn Thị Nga,Bên liên quan,Lãi từ cho vay,3.232.192,-,,,3232192.0,
Bà Trường Thị TrúcThiên Trang,Bà Trường Thị TrúcThiên Trang,Bà Trường Thị TrúcThiên Trang,Bên liên quan,Lãi từ cho vay,2.083.040,-,,,2083040.0,
Công ty Cổ phần Cao suTrung Nguyên,Công ty Cổ phần Cao suTrung Nguyên,Công ty Cổ phần Cao suTrung Nguyên,Công ty liên quan,Lãi từ cho vay,-,29.765.040,,,,29765040.0
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Chi trả hộ,-,7.779.191,,,,7779191.0
Khác,Khác,Khác,Bên liên quan,Chi trả hộ,63.748,35.273,,,63748.0,35273.0
,,,,,507.112.005,89.611.563,,,507112005.0,89611563.0
Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),,,,
Công ty TNHH MTVPhát triển Nông nghiệpThăng Long,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty TNHH MTVPhát triển Nông nghiệpThăng Long,Công ty TNHH MTVPhát triển Nông nghiệpThăng Long,Công ty liên quan,Cho mượnvật tư và tài sản,295.543.906,-,,,295543906.0,
Công ty Cổ phầnChăn nuôi Gia Lai,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty liên kết,Lãi từ cho vayHợp tác đầu tư,60.368.691109.650.981,23.349.092-,,,6.0368691109650984e+16,
Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng,Công ty liên quan,Cho mượn vạttự và tài sản,102.439.202,-,,,102439202.0,
Công ty Cổ phần Đầu tưBắt động sản An Phú,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tưBắt động sản An Phú,Công ty Cổ phần Đầu tưBắt động sản An Phú,Công ty liên quan,Lãi từ cho vay,20.987.500,-,,,20987500.0,
,,,,,588.990.280,23.349.092,,,588990280.0,23349092.0
