row_label_raw,row_label_full,Bên liên quan > Vay dải hạn (Thuyết minh số 24.4),Mối quan hệ > Vay dải hạn (Thuyết minh số 24.4),Nội dung nghiệp vụ > Vay dải hạn (Thuyết minh số 24.4),Số cuối năm > Vay dải hạn (Thuyết minh số 24.4),Ngàn VND > Số đầu năm > Vay dải hạn (Thuyết minh số 24.4),numeric__Mối quan hệ > Vay dải hạn (Thuyết minh số 24.4),numeric__Nội dung nghiệp vụ > Vay dải hạn (Thuyết minh số 24.4),numeric__Số cuối năm > Vay dải hạn (Thuyết minh số 24.4),numeric__Ngàn VND > Số đầu năm > Vay dải hạn (Thuyết minh số 24.4)
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Vay dài hạn,(9.686.239.709),(3.443.449.358),,,-9686239709.0,-3443449358.0
Công ty Cổ phần Chán nuôi Gia Lai,Công ty Cổ phần Chán nuôi Gia Lai,Công ty Cổ phần Chán nuôi Gia Lai,Công ty liên kết,Vay dài hạn,(298.000.000),-,,,-298000000.0,
,,,,,(9.984.239.709),(3.443.449.358),,,-9984239709.0,-3443449358.0
