row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,146.890.520,2.233.328,146890520.0,2233328.0
Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,141.737.131,-,141737131.0,
Khác,Khác,Khác,5.153.389,2.233.328,5153389.0,2233328.0
Chi phí khác,Chi phí khác,Chi phí khác,(712.608.755),(110.612.760),-712608755.0,-110612760.0
Lỗ từ đánh giá lại các tài sản không hiệu quả,Lỗ từ đánh giá lại các tài sản không hiệu quả,Lỗ từ đánh giá lại các tài sản không hiệu quả,(473.559.413),(59.062.258),-473559413.0,-59062258.0
Chi phí thay đổi mục đích sử dụng tài sản,Chi phí thay đổi mục đích sử dụng tài sản,Chi phí thay đổi mục đích sử dụng tài sản,(216.186.694),-,-216186694.0,
Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,(7.655.041),(3.521.561),-7655041.0,-3521561.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,(3.168.992),(3.266.826),-3168992.0,-3266826.0
Khác,Khác,Khác,(12.038.615),(44.762.115),-12038615.0,-44762115.0
Lỗ KHÁC,Lỗ KHÁC,Lỗ KHÁC,(565.718.235),(108.379.432),-565718235.0,-108379432.0
