row_label_raw,row_label_full,Chi phí xây dựng,Chi phí xây dựng_1,Chi phí xây dựng_2,Chi phí xây dựng_3,numeric__Chi phí xây dựng_1,numeric__Chi phí xây dựng_2,numeric__Chi phí xây dựng_3
cơ bản dở dang,cơ bản dở dang,cơ bản dở dang,11.153.955.744,(1.176.771.204),9.977.184.540,11153955744.0,-1176771204.0,9977184540.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,433.374.661,810.809.676,1.244.184.337,433374661.0,810809676.0,1244184337.0
Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,,,
phải trả,Thuế thu nhập hoãn lại > phải trả,phải trả,235.354.240,(235.354.240),-,235354240.0,-235354240.0,
Lợi ích cổ đông,Lợi ích cổ đông,Lợi ích cổ đông,Lợi ích cổ đông,Lợi ích cổ đông,Lợi ích cổ đông,,,
không kiểm soát,Lợi ích cổ đông > không kiểm soát,không kiểm soát,225.915.036,(130.607.288),95.307.748,225915036.0,-130607288.0,95307748.0
