row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Ngăn VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Ngăn VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.127.105.050,4.153.262.203,(5.141.713.889),2.138.653.364,3127105050.0,4153262203.0,-5141713889.0,2138653364.0
Vay ngắn hạn ngân hàng (Thuyết minh số 24.1),Vay ngắn hạn ngân hàng (Thuyết minh số 24.1),Vay ngắn hạn ngân hàng (Thuyết minh số 24.1),2.101.643.091,1.746.914.533,(2.776.496.631),1.072.060.993,2101643091.0,1746914533.0,-2776496631.0,1072060993.0
Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 24.2),Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 24.2),Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 24.2),659.401.026,130.350,(292.308.526),367.222.850,659401026.0,130350.0,-292308526.0,367222850.0
Vay dài hạn bên liên quan đến hạn trả (Thuyết minh số 24.4),Vay dài hạn bên liên quan đến hạn trả (Thuyết minh số 24.4),Vay dài hạn bên liên quan đến hạn trả (Thuyết minh số 24.4),66.060.933,387.037.020,(120.000.000),333.097.953,66060933.0,387037020.0,-120000000.0,333097953.0
Vay dài hạn trái phiếu đến hạn trả (Thuyết minh số 24.3),Vay dài hạn trái phiếu đến hạn trả (Thuyết minh số 24.3),Vay dài hạn trái phiếu đến hạn trả (Thuyết minh số 24.3),300.000.000,1.950.000.000,(1.952.908.732),297.091.268,300000000.0,1950000000.0,-1952908732.0,297091268.0
Vay ngắn hạn từ công ty và cá nhân (Thuyết minh số 24.6),Vay ngắn hạn từ công ty và cá nhân (Thuyết minh số 24.6),Vay ngắn hạn từ công ty và cá nhân (Thuyết minh số 24.6),-,61.357.300,-,61.357.300,,61357300.0,,61357300.0
Vay ngắn hạn từ bên liên quan (Thuyết minh số 24.5),Vay ngắn hạn từ bên liên quan (Thuyết minh số 24.5),Vay ngắn hạn từ bên liên quan (Thuyết minh số 24.5),-,7.823.000,-,7.823.000,,7823000.0,,7823000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,9.108.541.327,10.504.986.042,(2.356.184.906),17.257.342.463,9108541327.0,10504986042.0,-2356184906.0,17257342463.0
Vay dài hạn bên liên quan (Thuyết minh số 24.4),Vay dài hạn bên liên quan (Thuyết minh số 24.4),Vay dài hạn bên liên quan (Thuyết minh số 24.4),3.377.388.430,7.764.885.895,(1.491.132.570),9.651.141.755,3377388430.0,7764885895.0,-1491132570.0,9651141755.0
Vay dài hạn ngân hàng (Thuyết minh số 24.2),Vay dài hạn ngân hàng (Thuyết minh số 24.2),Vay dài hạn ngân hàng (Thuyết minh số 24.2),4.031.152.897,2.309.100.147,(551.258.256),5.788.994.788,4031152897.0,2309100147.0,-551258256.0,5788994788.0
Vay dài hạn trái phiếu (Thuyết minh số 24.3),Vay dài hạn trái phiếu (Thuyết minh số 24.3),Vay dài hạn trái phiếu (Thuyết minh số 24.3),1.700.000.000,431.000.000,(313.794.080),1.817.205.920,1700000000.0,431000000.0,-313794080.0,1817205920.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.235.646.377,14.658.248.245,(7.497.898.795),19.395.995.827,12235646377.0,14658248245.0,-7497898795.0,19395995827.0
