row_label_raw,row_label_full,Ngân hàng,Số cuối nămNgàn VND,Nguyên tệUSD,col_3,Thời hạn thanh toán,Lãi suất%/năm,"Tài sản thế chấp(Thuyết minh số 10, 11 và 13)",numeric__Số cuối nămNgàn VND,numeric__Nguyên tệUSD,numeric__col_3,numeric__Thời hạn thanh toán,numeric__Lãi suất%/năm,"numeric__Tài sản thế chấp(Thuyết minh số 10, 11 và 13)"
"BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai",,,,,,
Hợp đồng tín dụng hạn mức số04/2015/6261950/HĐTD ngày 4tháng 5 năm 2015 - Phụ lục số01/2016/6261950,"BIDV, Chi nhánh Gia Lai > Hợp đồng tín dụng hạn mức số04/2015/6261950/HĐTD ngày 4tháng 5 năm 2015 - Phụ lục số01/2016/6261950",Hợp đồng tín dụng hạn mức số04/2015/6261950/HĐTD ngày 4tháng 5 năm 2015 - Phụ lục số01/2016/6261950,504.124.600,,-,Từ ngày 1 tháng 5 năm 2017đến ngày 8 tháng 7 năm 2017,"6,50 - 9,00","Tài sản hình thành tử vốn vay thuộc dự án chắn nuôi bỏ thịt tại Huyện Chuprong, Tĩnh Gia Lai, Việt Nam",504124600.0,,,,,
"Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu","Laos - Viet Bank, Chi nhánh Attapeu",,,,,,
Hợp đồng tín dụng hạn mức số080/HĐ-LVB.ATP/2015 ngày 1tháng 7 năm 2015,"Laos - Viet Bank, Chi nhánh Attapeu > Hợp đồng tín dụng hạn mức số080/HĐ-LVB.ATP/2015 ngày 1tháng 7 năm 2015",Hợp đồng tín dụng hạn mức số080/HĐ-LVB.ATP/2015 ngày 1tháng 7 năm 2015,216.919.925,,-,Từ ngày 8 tháng 1 năm 2017đến ngày 31 tháng 8 năm 2017,"8,00","Máy cắt mła trị giá 5,16 tỷ LAK tương đương với 137,722 tỷ VND; quyền sử dụng đất 18.313 \( m^{2} \) tại Huyện Samakhixay, Tĩnh Attpeu, Lào và các tài sản gắn liền trên đất",216919925.0,,,,8.0,
Hợp đồng tín dụng hạn mức số083/HĐ-LVB.ATP/2015 ngày 9tháng 7 năm 2015,"Laos - Viet Bank, Chi nhánh Attapeu > Hợp đồng tín dụng hạn mức số083/HĐ-LVB.ATP/2015 ngày 9tháng 7 năm 2015",Hợp đồng tín dụng hạn mức số083/HĐ-LVB.ATP/2015 ngày 9tháng 7 năm 2015,133.551.694,5.982.684,-,Từ ngày 28 tháng 3 năm 2017đến ngày 7 tháng 9 năm 2017,"8,00 - 9,50","Quyền sử dụng 3 lỗ đất 1.001,78 ha tại Huyện Laman, Tĩnh Sekong, Láo và toàn bộ tải sản trên đất thuộc dự án nuôi bỏ và đản bỏ nhập khẩu",133551694.0,5982684.0,,,,
TỔNG CỘNG,"Laos - Viet Bank, Chi nhánh Attapeu > TỔNG CỘNG",TỔNG CỘNG,350.471.619,,,,,,350471619.0,,,,,
