row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Chênh lệchlỷ giả hối đoái,Lợi nhuậnsau thuế chưa phân phối,Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệchlỷ giả hối đoái,numeric__Lợi nhuậnsau thuế chưa phân phối,numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.990.670.000,1.295.347.000,143.518.473,1.404.012.572,6.833.548.045,3990670000.0,1295347000.0,143518473.0,1404012572.0,6833548045.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,724.591.678,724.591.678,,,,724591678.0,724591678.0
Phát hành cổ phiếu thu bằng tiền,Năm trước > Phát hành cổ phiếu thu bằng tiền,Phát hành cổ phiếu thu bằng tiền,798.723.950,999.248.810,-,-,1.797.972.760,798723950.0,999248810.0,,,1797972760.0
Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần,Năm trước > Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần,Phát hành cổ phiếu bằng nguồn thẳng dư vốn cổ phần,2.292.045.000,(2.292.045.000),-,-,-,2292045000.0,-2292045000.0,,,
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,299.629.881,-,299.629.881,,,299629881.0,,299629881.0
Giao dịch mua thêm cổ phần từ cổ đông không kiểm soát,Năm trước > Giao dịch mua thêm cổ phần từ cổ đông không kiểm soát,Giao dịch mua thêm cổ phần từ cổ đông không kiểm soát,-,-,-,(2.029.495),(2.029.495),,,,-2029495.0,-2029495.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.081.438.950,2.550.810,443.148.354,2.126.574.755,9.653.712.869,7081438950.0,2550810.0,443148354.0,2126574755.0,9653712869.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.081.438.950,2.550.810,443.148.354,2.126.574.755,9.653.712.869,7081438950.0,2550810.0,443148354.0,2126574755.0,9653712869.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(984.862.782),(984.862.782),,,,-984862782.0,-984862782.0
Phát hành cổ phiếu thu bằng tiền (*),Năm nay > Phát hành cổ phiếu thu bằng tiền (*),Phát hành cổ phiếu thu bằng tiền (*),590.000.000,1.062.000.000,-,-,1.652.000.000,590000000.0,1062000000.0,,,1652000000.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,103.371.286,-,103.371.286,,,103371286.0,,103371286.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.671.438.950,1.064.550.810,546.519.640,1.141.711.973,10.424.221.373,7671438950.0,1064550810.0,546519640.0,1141711973.0,10424221373.0
