row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__Ngàn VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp(Thuyết minh số 33.1),Phải thu > Thuế thu nhập doanh nghiệp(Thuyết minh số 33.1),Thuế thu nhập doanh nghiệp(Thuyết minh số 33.1),1.511.872,-,-,1.511.872,1511872.0,,,1511872.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,719.366,3.079.634,-,3.799.000,719366.0,3079634.0,,3799000.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,2.231.238,3.079.634,-,5.310.872,2231238.0,3079634.0,,5310872.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,142.676.704,35.481.597,(80.416.147),97.742.154,142676704.0,35481597.0,-80416147.0,97742154.0
Thuế thu nhập doanh nghiệp(Thuyết minh số 33.1),Phải nộp > Thuế thu nhập doanh nghiệp(Thuyết minh số 33.1),Thuế thu nhập doanh nghiệp(Thuyết minh số 33.1),2.229.860,14.753.475,(1.533.261),15.450.074,2229860.0,14753475.0,-1533261.0,15450074.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.034.146,27.314.973,(27.621.209),3.727.910,4034146.0,27314973.0,-27621209.0,3727910.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,-,4.107.542,(775.971),3.331.571,,4107542.0,-775971.0,3331571.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,148.940.710,81.657.587,(110.346.588),120.251.709,148940710.0,81657587.0,-110346588.0,120251709.0
