row_label_raw,row_label_full,Ngân hàng,Số cuối nămNgàn VND,Nguyên tệUSD,Thời hạnthanh toán,Lãi suất%/năm,"Tài sản thể chấp(Thuyết minh số 10, 11 và 13)",numeric__Số cuối nămNgàn VND,numeric__Nguyên tệUSD,numeric__Thời hạnthanh toán,numeric__Lãi suất%/năm,"numeric__Tài sản thể chấp(Thuyết minh số 10, 11 và 13)"
"BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định",,,,,
Hợp đồng vay số01/2013/BIDV -Attapeu ngày 18tháng 2 năm 2013,"BIDV, Chi nhánh Bình Định > Hợp đồng vay số01/2013/BIDV -Attapeu ngày 18tháng 2 năm 2013",Hợp đồng vay số01/2013/BIDV -Attapeu ngày 18tháng 2 năm 2013,656.877.231,29.436.736,Từ ngày 25 tháng3 năm 2016 đếnngày 25 tháng 12năm 2022,"Lãi suất huy động tiếtkiệm của BIDV bằngUSD kỳ hạn 12 thángtrả lãi sau + 5,00%(2016: 7,00)","Căn hộ thuộc cao óc Hoàng Văn Thụ, Thànhphố Pleiku, Tĩnh Gia Lai, Việt Nam; quyền sửdụng \( 4.320 \, m^{2} \) đất tại hồ sinh thái Đống Đa,Thành phố Quy Nhơn, Tĩnh Bình Định, Việt Nam;nhà máy đã Grannite HAGL tại Huyện Đắk Đoa,Tĩnh Gia Lai, Việt Nam; quyền sử dụng \( 6.993,2 \, m^{2} \) đất tại Phường Phú Đồng, Thành phố Pleiku,Tĩnh Gia Lai, Việt Nam; 117 căn hộ thuộc khu căn hộ cao cấp HAGL-BIDV tại Tĩnh Đắk Lắk,Việt Nam; số dư tiền gửi không kỳ hạn47.989.463 ngân VND của HAG tại BIDV; 9 cănhộ chung cư Thương mai Bầu Thạc Gián,Đường Hàm Nghi, Phường Thạc Gián, QuậnThanh Khê, Thành phố Đà Nẵng",656877231.0,29436736.0,,,
Hợp đồng vay số01/2012/BIDV-HAGL-Attapeu ngày 22tháng 3 năm 2012,"BIDV, Chi nhánh Bình Định > Hợp đồng vay số01/2012/BIDV-HAGL-Attapeu ngày 22tháng 3 năm 2012",Hợp đồng vay số01/2012/BIDV-HAGL-Attapeu ngày 22tháng 3 năm 2012,577.159.925,25.722.235,Từ ngày 30 ngày3 năm 2017 đếnngày 21 tháng 4năm 2023,"Lãi suất huy độngtiết kiệm của BIDVbằng 12 tháng tiềngửi trả sau + 3,50%(2016: 7,00 - 8,00)","Quyền sử dụng 51 ha và tài sân gần liền trênđất tại Huyện Phou Vong ,Tĩnh Attpeu, Láo",577159925.0,25722235.0,,,
