row_label_raw,row_label_full,col_0,Ngàn VNDGiá trị hợp lýđược xác địnhtạm thời ghi nhậntại ngày mua,numeric__Ngàn VNDGiá trị hợp lýđược xác địnhtạm thời ghi nhậntại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,150.156.944,150156944.0
Các khoản phải thu ngắn hạn của khách hàng,Tài sản > Các khoản phải thu ngắn hạn của khách hàng,Các khoản phải thu ngắn hạn của khách hàng,1.067.788.689,1067788689.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,251.734.900,251734900.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,4.115.080,4115080.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,127.142.696,127142696.0
Chi phí xây dựng cơ bản dở dang(vườn cây cao su và cây ăn quả),Tài sản > Chi phí xây dựng cơ bản dở dang(vườn cây cao su và cây ăn quả),Chi phí xây dựng cơ bản dở dang(vườn cây cao su và cây ăn quả),988.522.788,988522788.0
Chi phí trả trước dài hạn,Tài sản > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,8.107.961,8107961.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,764.670.000,764670000.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Vay ngắn hạn,Nợ phải trả > Vay ngắn hạn,Vay ngắn hạn,(192.510.774),-192510774.0
Các khoản phải trả,Nợ phải trả > Các khoản phải trả,Các khoản phải trả,(1.027.882.185),-1027882185.0
Vay dài hạn,Nợ phải trả > Vay dài hạn,Vay dài hạn,(1.531.400.617),-1531400617.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,610.445.482,610445482.0
Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 17),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 17),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 17),2.667.823.198,2667823198.0
Lợi ích cố đông không kiểm soát (Thuyết minh số 26),Nợ phải trả > Lợi ích cố đông không kiểm soát (Thuyết minh số 26),Lợi ích cố đông không kiểm soát (Thuyết minh số 26),(531.560),-531560.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,3.277.737.120,3277737120.0
