row_label_raw,row_label_full,Ngân hàng,Số cuối nămNgàn VND,Nguyên tệNgàn VND,Thời hạn thanh toán,Lãi suất%/năm,"Tài sản thế chấp(Thuyết minh số 10, 11 và 13)",numeric__Số cuối nămNgàn VND,numeric__Nguyên tệNgàn VND,numeric__Thời hạn thanh toán,numeric__Lãi suất%/năm,"numeric__Tài sản thế chấp(Thuyết minh số 10, 11 và 13)"
"Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức",,,,,
Hợp đồng tín dụng sốLD1333200419 ngày 29 tháng11 năm 2013,"Sacombank, Chi nhánh Thủ Đức > Hợp đồng tín dụng sốLD1333200419 ngày 29 tháng11 năm 2013",Hợp đồng tín dụng sốLD1333200419 ngày 29 tháng11 năm 2013,250.000.000,250.000.000,Từ ngày 29 tháng5 năm 2017 đếnngày 29 tháng5 năm 2019,"Lãi suất thả nổi(2016: 10,00 - 11,00)","Quyền sử dụng đất 1.328,1 ha caosu và tài sản gắn liền trên đất tạiHuyện Chuprong, Tĩnh Gia Lai, ViệtNam; quyền sử dụng đất 479,2 hatai Xã EaH'leo, Huyện EaH'leo giàtrị 95,84 tỷ VND và 683,33 ha tạiXã EaH'leo, Huyện EaH'leo",250000000.0,250000000.0,,,
Hợp đồng tín dụng hạn mứcsố LD1623900077 ngày 10tháng 11 năm 2016,"Sacombank, Chi nhánh Thủ Đức > Hợp đồng tín dụng hạn mứcsố LD1623900077 ngày 10tháng 11 năm 2016",Hợp đồng tín dụng hạn mứcsố LD1623900077 ngày 10tháng 11 năm 2016,85.000.000,85.000.000,Ngày 11 tháng10 năm 2021,"9,50","Quyền sử dụng 1.382 ha cao suvà tài sản gắn liền trên đất tạila Púc, Huyện Chư Prống,Tĩnh Gia Lai. Việt Nam",85000000.0,85000000.0,,9.5,
"Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia",,,,,
Hợp đồng tín dụng sốD1616880002 ngày 16 tháng6 năm 2016,"Sacombank, Chi nhánh Campuchia > Hợp đồng tín dụng sốD1616880002 ngày 16 tháng6 năm 2016",Hợp đồng tín dụng sốD1616880002 ngày 16 tháng6 năm 2016,96.628 000,4.000.000,Ngày 23 tháng6 năm 2021,"9,00","Quyền sử dụng đất thuê lâu đàitại Xã Talao, Huyện Ouchum vàXã Nhang, Huyện Andong Meas,Tĩnh Rattanakiri, Campuchia",,4000000.0,,9.0,
TỔNG CỘNG,"Sacombank, Chi nhánh Campuchia > TỔNG CỘNG",TỔNG CỘNG,994.082.604,,,,,994082604.0,,,,
Trong đó :Vay dài hạn đến hạn trảVay dài hạn,"Sacombank, Chi nhánh Campuchia > Trong đó :Vay dài hạn đến hạn trảVay dài hạn",Trong đó :Vay dài hạn đến hạn trảVay dài hạn,25.000.000969.082.604,,,,,2.5000000969082604e+16,,,,
