row_label_raw,row_label_full,Tên công ty,Tên công ty_1,Trụ sở,Hoạt động kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu,numeric__Tên công ty_1,numeric__Trụ sở,numeric__Hoạt động kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu
(1),(1),(1),Công ty TNHH Đầu tư Cao su Đồng Âu,"Hồ Chỉ Minh, Việt Nam",Trồng cây cao su,Trước hoạt động,100%,,,,,1.0
(2),(2),(2),Công ty TNHH Cao su Eastern (Cambodia),"Kratie, Campuchia",Trồng cây cao su,Trước hoạt động,100%,,,,,1.0
(3),(3),(3),Công ty TNHH Sovann Vuthy,"Kratie, Campuchia",Trồng cây cao su,Trước hoạt động,100%,,,,,1.0
(4),(4),(4),Công ty TNHH Bình Phước Kratie 2,"Kratie, Campuchia",Trồng cây cao su,Trước hoạt động,100%,,,,,1.0
