row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 22),Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 22),Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 22),Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 22),Ngàn VND Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Ngàn VND Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 22)
Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Mượn tiền và chỉ phí lãi vayThu hồ,(1.007.581.103)-,(1.364.104.229)(1.993.113),,,,
Công ty TNHH Điện Năm Kông 3,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Điện Năm Kông 3,Công ty TNHH Điện Năm Kông 3,Công ty liên quan,Mượn tiền,(499.290.919),(405.141.333),,,-499290919.0,-405141333.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Mượn tạm,(404.622.013),-,,,-404622013.0,
Bà Võ Thị Mỹ Hạnh,Công ty Cổ phần Hoàng Anh Gia Lai > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bên liên quan,Mượn tiền,(22.000.000),-,,,-22000000.0,
Công ty TNHH Hoàng Anh Gia Lai - Bangkok,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Hoàng Anh Gia Lai - Bangkok,Công ty TNHH Hoàng Anh Gia Lai - Bangkok,Công ty liên quan,Chỉ phí lãi vay,(7.369.738),-,,,-7369738.0,
Công ty TNHH An Tiền,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH An Tiền,Công ty TNHH An Tiền,Công ty liên quan,Khác,(2.034.000),(2.034.000),,,-2034000.0,-2034000.0
Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty Cổ phần Khoáng sản Hoàng Anh Gia Lai,Công ty liên quan,Khác,(1.943.782),-,,,-1943782.0,
Công ty TNHH Khoáng Sản Hoàng Anh Sê Kong,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty TNHH Khoáng Sản Hoàng Anh Sê Kong,Công ty TNHH Khoáng Sản Hoàng Anh Sê Kong,Công ty liên quan,Mượn tiền,(1.457.363),(1.478.796),,,-1457363.0,-1478796.0
Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty liên quan,Khác,(158.882),-,,,-158882.0,
Công ty Cổ phần Điện Hoàng Anh Attapeu,Công ty Cổ phần Hoàng Anh Gia Lai > Công ty Cổ phần Điện Hoàng Anh Attapeu,Công ty Cổ phần Điện Hoàng Anh Attapeu,Công ty liên quan,Mượn tiền,-,(3.196.958),,,,-3196958.0
Khác,Công ty Cổ phần Hoàng Anh Gia Lai > Khác,Khác,Bên liên quan,Thu hồ,-,(555.587),,,,-555587.0
,,,,,(1.946.457.800),(1.778.504.016),,,-1946457800.0,-1778504016.0
Phải trả dàl hạn khác (Thuyết minh số 22),Phải trả dàl hạn khác (Thuyết minh số 22),Phải trả dàl hạn khác (Thuyết minh số 22),Phải trả dàl hạn khác (Thuyết minh số 22),Phải trả dàl hạn khác (Thuyết minh số 22),Phải trả dàl hạn khác (Thuyết minh số 22),Phải trả dàl hạn khác (Thuyết minh số 22),,,,
Công ty TNHH An Tiền,Phải trả dàl hạn khác (Thuyết minh số 22) > Công ty TNHH An Tiền,Công ty TNHH An Tiền,Công ty liên quan,Hợp tác kinh doanh,(550.000.000),-,,,-550000000.0,
Công ty Cổ phần Hoàng Anh Gia Lai,Phải trả dàl hạn khác (Thuyết minh số 22) > Công ty Cổ phần Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,Công ty mẹ,Chỉ phí lãi vay,(136.237.677),(659.411.049),,,-136237677.0,-659411049.0
,,,,,(686.237.677),(659.411.049),,,-686237677.0,-659411049.0
Vay ngắn hạn (Thuyết minh số 24.5),Vay ngắn hạn (Thuyết minh số 24.5),Vay ngắn hạn (Thuyết minh số 24.5),Vay ngắn hạn (Thuyết minh số 24.5),Vay ngắn hạn (Thuyết minh số 24.5),Vay ngắn hạn (Thuyết minh số 24.5),Vay ngắn hạn (Thuyết minh số 24.5),,,,
Ông Dương Hoàng Bắc,Vay ngắn hạn (Thuyết minh số 24.5) > Ông Dương Hoàng Bắc,Ông Dương Hoàng Bắc,Bên liên quan,Vay ngắn hạn,(7.823.000),-,,,-7823000.0,
